RC[CLU_2550]		17	Dist (km)
>	L[CLU_2550]	13	0.00
>	L[SHC1]	2	20.00
>	L[SHC1] tel	0
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[CLU_2725]		41	Dist (km)
>	L[CLU_2725]	32	0.00
>	L[SHC1]	6	20.00
>	L[SHC1] tel	0
>	L[THC1]	2	25.00
>	L[THC1] tel	0
RC[CLU_3501]		2978	Dist (km)
>	L[3122302159414]	2240	3.69
>	L[3122302159414] tel	112
>	L[SHC1]	446	20.00
>	L[SHC1] tel	22
>	L[THC1]	148	25.00
>	L[THC1] tel	7
RC[CLU_3502]		2441	Dist (km)
>	L[3122302159414]	1836	3.55
>	L[3122302159414] tel	91
>	L[SHC1]	366	20.00
>	L[SHC1] tel	18
>	L[THC1]	122	25.00
>	L[THC1] tel	6
RC[CLU_3503]		2743	Dist (km)
>	L[3122302159503]	91	2.46
>	L[3122302159414]	438	4.24
>	L[3122307488882]	1533	3.11
>	L[3122302159503] tel	4
>	L[3122302159414] tel	21
>	L[3122307488882] tel	76
>	L[SHC1]	411	20.00
>	L[SHC1] tel	20
>	L[THC1]	137	25.00
>	L[THC1] tel	6
RC[CLU_3504]		920	Dist (km)
>	L[3122302159414]	692	3.63
>	L[3122302159414] tel	34
>	L[SHC1]	138	20.00
>	L[SHC1] tel	6
>	L[THC1]	46	25.00
>	L[THC1] tel	2
RC[CLU_3505]		2920	Dist (km)
>	L[3122302159694]	714	1.25
>	L[3122302159511]	714	0.90
>	L[3122302159678]	768	1.13
>	L[3122302159694] tel	35
>	L[3122302159511] tel	35
>	L[3122302159678] tel	38
>	L[SHC1]	438	20.00
>	L[SHC1] tel	21
>	L[THC1]	146	25.00
>	L[THC1] tel	7
RC[CLU_3506]		2315	Dist (km)
>	L[3122302159678]	1741	0.81
>	L[3122302159678] tel	87
>	L[SHC1]	347	20.00
>	L[SHC1] tel	17
>	L[THC1]	115	25.00
>	L[THC1] tel	5
RC[CLU_3507]		2848	Dist (km)
>	L[3122302206315]	2142	0.83
>	L[3122302206315] tel	107
>	L[SHC1]	427	20.00
>	L[SHC1] tel	21
>	L[THC1]	142	25.00
>	L[THC1] tel	7
RC[CLU_3508]		2949	Dist (km)
>	L[3122302159473]	2218	2.26
>	L[3122302159473] tel	110
>	L[SHC1]	442	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3509]		2949	Dist (km)
>	L[3122302159694]	80	1.41
>	L[3122302159597]	2138	2.07
>	L[3122302159856]	0	3.48
>	L[3122302159694] tel	4
>	L[3122302159597] tel	106
>	L[3122302159856] tel	0
>	L[SHC1]	442	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3510]		2815	Dist (km)
>	L[3122302206315]	2117	0.12
>	L[3122302206315] tel	105
>	L[SHC1]	422	20.00
>	L[SHC1] tel	21
>	L[THC1]	140	25.00
>	L[THC1] tel	7
RC[CLU_3511]		1946	Dist (km)
>	L[3122302159678]	333	1.06
>	L[3122302206315]	1130	1.21
>	L[3122302159678] tel	16
>	L[3122302206315] tel	56
>	L[SHC1]	291	20.00
>	L[SHC1] tel	14
>	L[THC1]	97	25.00
>	L[THC1] tel	4
RC[CLU_3512]		2780	Dist (km)
>	L[3122302159538]	975	1.90
>	L[3122302159511]	377	1.88
>	L[3122302159678]	356	0.00
>	L[3122302159554]	398	1.58
>	L[3122302159538] tel	48
>	L[3122302159511] tel	18
>	L[3122302159554] tel	19
>	L[SHC1]	417	20.00
>	L[SHC1] tel	20
>	L[THC1]	139	25.00
>	L[THC1] tel	6
RC[CLU_3513]		2286	Dist (km)
>	L[3122302159694]	1805	0.00
>	L[SHC1]	342	20.00
>	L[SHC1] tel	17
>	L[THC1]	114	25.00
>	L[THC1] tel	5
RC[CLU_3514]		1671	Dist (km)
>	L[3122302159694]	1257	0.46
>	L[3122302159694] tel	62
>	L[SHC1]	250	20.00
>	L[SHC1] tel	12
>	L[THC1]	83	25.00
>	L[THC1] tel	4
RC[CLU_3515]		1936	Dist (km)
>	L[3122302159589]	1456	0.64
>	L[3122302159589] tel	72
>	L[SHC1]	290	20.00
>	L[SHC1] tel	14
>	L[THC1]	96	25.00
>	L[THC1] tel	4
RC[CLU_3516]		1613	Dist (km)
>	L[3122302159422]	714	3.32
>	L[3122302159414]	221	3.01
>	L[3122304445651]	277	2.00
>	L[3122302159422] tel	35
>	L[3122302159414] tel	11
>	L[3122304445651] tel	13
>	L[SHC1]	241	20.00
>	L[SHC1] tel	12
>	L[THC1]	80	25.00
>	L[THC1] tel	4
RC[CLU_3517]		1534	Dist (km)
>	L[3122302159589]	1211	0.00
>	L[SHC1]	230	20.00
>	L[SHC1] tel	11
>	L[THC1]	76	25.00
>	L[THC1] tel	3
RC[CLU_3518]		1463	Dist (km)
>	L[3122302159554]	1100	0.74
>	L[3122302159554] tel	55
>	L[SHC1]	219	20.00
>	L[SHC1] tel	10
>	L[THC1]	73	25.00
>	L[THC1] tel	3
RC[CLU_3519]		2944	Dist (km)
>	L[3122302159538]	1237	0.90
>	L[3122303747719]	977	2.89
>	L[3122302159538] tel	61
>	L[3122303747719] tel	48
>	L[SHC1]	441	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3520]		2943	Dist (km)
>	L[3122304194500]	892	1.79
>	L[3122307269161]	1321	2.83
>	L[3122304194500] tel	44
>	L[3122307269161] tel	66
>	L[SHC1]	441	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3521]		2604	Dist (km)
>	L[3122306072046]	1491	0.61
>	L[3122303747719]	467	2.92
>	L[3122306072046] tel	74
>	L[3122303747719] tel	23
>	L[SHC1]	390	20.00
>	L[SHC1] tel	19
>	L[THC1]	130	25.00
>	L[THC1] tel	6
RC[CLU_3522]		2764	Dist (km)
>	L[3122302159538]	750	0.00
>	L[3122306072046]	1365	0.90
>	L[3122306072046] tel	68
>	L[SHC1]	414	20.00
>	L[SHC1] tel	20
