L[313760105000002]		470	Dist (km)
>	L[313760105000002]	151	0.00
>	L[313760105000030]	182	0.41
>	L[SHC1]	112	20.00
>	L[THC1]	23	25.00
L[313760105000013]		2679	Dist (km)
>	L[313760105000011]	240	0.61
>	L[313760105000013]	620	0.00
>	L[313760105000089]	219	0.53
>	L[313760105000094]	412	0.75
>	L[313760105000095]	248	0.63
>	L[313760105000098]	161	1.25
>	L[SHC1]	643	20.00
>	L[THC1]	133	25.00
L[313760105000048]		35	Dist (km)
>	L[313760105000048]	25	0.00
>	L[SHC1]	8	20.00
>	L[THC1]	1	25.00
L[313760105000076]		2873	Dist (km)
>	L[313760105000015]	124	1.21
>	L[313760105000074]	395	0.54
>	L[313760105000075]	174	0.26
>	L[313760105000076]	179	0.00
>	L[313760105000077]	314	0.26
>	L[313760105000084]	151	0.36
>	L[313760105000085]	182	0.35
>	L[313760105000086]	390	0.53
>	L[313760105000212]	129	0.82
>	L[SHC1]	689	20.00
>	L[THC1]	143	25.00
L[313760105000080]		2794	Dist (km)
>	L[313760105000009]	426	0.74
>	L[313760105000010]	294	0.57
>	L[313760105000078]	238	0.34
>	L[313760105000080]	263	0.00
>	L[313760105000083]	373	0.67
>	L[313760105000238]	331	0.88
>	L[313760105000257]	59	0.36
>	L[SHC1]	670	20.00
>	L[THC1]	139	25.00
L[313760105000102]		2550	Dist (km)
>	L[313760105000102]	929	0.00
>	L[313760105000103]	237	0.87
>	L[313760105000105]	102	0.80
>	L[313760105000274]	269	0.47
>	L[313760105000275]	271	0.48
>	L[SHC1]	612	20.00
>	L[THC1]	127	25.00
L[313760105000122]		2802	Dist (km)
>	L[313760105000027]	238	0.54
>	L[313760105000028]	317	0.31
>	L[313760105000122]	378	0.00
>	L[313760105000207]	333	0.47
>	L[313760105000208]	405	0.26
>	L[313760105000250]	152	0.50
>	L[313760105000251]	165	0.36
>	L[SHC1]	672	20.00
>	L[THC1]	140	25.00
L[313760105000125]		2970	Dist (km)
>	L[313760105000020]	300	0.74
>	L[313760105000021]	221	0.43
>	L[313760105000022]	193	0.75
>	L[313760105000108]	131	0.50
>	L[313760105000109]	137	0.26
>	L[313760105000110]	283	1.04
>	L[313760105000123]	78	0.59
>	L[313760105000124]	162	0.26
>	L[313760105000125]	97	0.00
>	L[313760105000165]	209	0.32
>	L[313760105000204]	294	0.78
>	L[SHC1]	713	20.00
>	L[THC1]	148	25.00
L[313760105000132]		2854	Dist (km)
>	L[313760105000036]	198	0.12
>	L[313760105000132]	265	0.00
>	L[313760105000175]	188	0.16
>	L[313760105000236]	19	0.58
>	L[313760105000237]	324	0.70
>	L[313760105000242]	222	0.61
>	L[313760105000243]	289	0.37
>	L[313760105000278]	518	0.40
>	L[SHC1]	685	20.00
>	L[THC1]	142	25.00
L[313760105000135]		2818	Dist (km)
>	L[313760105000039]	701	0.63
>	L[313760105000040]	390	0.86
>	L[313760105000135]	340	0.00
>	L[313760105000136]	302	0.53
>	L[313760105000142]	226	0.67
>	L[313760105000233]	41	1.34
>	L[SHC1]	676	20.00
>	L[THC1]	140	25.00
L[313760105000139]		5735	Dist (km)
>	L[313760105000138]	554	0.21
>	L[313760105000139]	324	0.00
>	L[313760105000162]	327	0.42
>	L[313760105000163]	284	0.44
>	L[313760105000182]	427	0.63
>	L[313760105000183]	614	0.62
>	L[313760105000184]	404	0.74
>	L[313760105000209]	521	0.54
>	L[313760105000210]	48	0.85
>	L[313760115000005]	74	4.92
>	L[313760115000014]	182	1.36
>	L[313760115000015]	8	2.20
>	L[313760115000030]	73	2.95
>	L[313760115000034]	231	1.28
>	L[SHC1]	1376	20.00
>	L[THC1]	286	25.00
L[313760105000168]		2614	Dist (km)
>	L[313760105000029]	191	0.66
>	L[313760105000067]	193	0.44
>	L[313760105000126]	178	0.37
>	L[313760105000127]	425	0.25
>	L[313760105000168]	312	0.00
>	L[313760105000169]	241	0.30
>	L[313760105000176]	316	0.26
>	L[SHC1]	627	20.00
>	L[THC1]	130	25.00
L[313760105000180]		5406	Dist (km)
>	L[313760105000128]	651	0.58
>	L[313760105000129]	318	0.70
>	L[313760105000134]	253	0.72
>	L[313760105000147]	306	1.78
>	L[313760105000172]	123	2.54
>	L[313760105000177]	44	0.31
>	L[313760105000178]	326	0.34
>	L[313760105000179]	231	0.22
>	L[313760105000180]	373	0.00
>	L[313760105000217]	310	0.60
>	L[313760105000232]	274	1.20
>	L[313760105000252]	348	0.47
>	L[313760105000253]	278	0.74
>	L[SHC1]	1297	20.00
>	L[THC1]	270	25.00
L[313760105000186]		2999	Dist (km)
>	L[313760105000043]	57	0.30
>	L[313760105000045]	316	0.43
>	L[313760105000140]	443	0.29
>	L[313760105000141]	158	0.52
>	L[313760105000254]	206	0.75
>	L[313760105000255]	302	0.65
>	L[313760105000282]	267	0.38
>	L[313760105000283]	377	0.70
>	L[SHC1]	720	20.00
>	L[THC1]	150	25.00
L[313760105000201]		2867	Dist (km)
>	L[313760105000101]	37	1.14
>	L[313760105000171]	301	0.35
>	L[313760105000198]	262	0.17
>	L[313760105000200]	250	0.40
>	L[313760105000201]	191	0.00
>	L[313760105000202]	293	0.26
>	L[313760105000214]	371	0.58
>	L[313760105000265]	329	1.33
>	L[SHC1]	688	20.00
>	L[THC1]	143	25.00
L[313760105000235]		2787	Dist (km)
>	L[313760105000026]	274	0.69
>	L[313760105000118]	253	1.38
>	L[313760105000120]	278	1.02
>	L[313760105000161]	66	0.72
>	L[313760105000166]	304	1.26
>	L[313760105000205]	112	0.94
>	L[313760105000234]	306	0.35
>	L[313760105000235]	383	0.00
>	L[SHC1]	669	20.00
>	L[THC1]	139	25.00
L[313760105000239]		2964	Dist (km)
>	L[313760105000005]	125	0.32
>	L[313760105000008]	398	0.47
>	L[313760105000071]	294	0.69
>	L[313760105000072]	245	0.57
>	L[313760105000239]	443	0.00
>	L[313760105000240]	240	0.78
>	L[313760105000241]	358	0.29
>	L[SHC1]	711	20.00
>	L[THC1]	148	25.00
L[313760105000259]		2999	Dist (km)
>	L[313760105000003]	262	0.57
>	L[313760105000066]	288	0.49
>	L[313760105000068]	164	0.35
>	L[313760105000069]	114	0.24
>	L[313760105000188]	57	0.63
>	L[313760105000195]	66	1.89
>	L[313760105000196]	131	1.19
>	L[313760105000246]	146	0.32
>	L[313760105000247]	148	0.39
>	L[313760105000258]	303	0.28
>	L[313760105000276]	449	0.53
>	L[SHC1]	720	20.00
>	L[THC1]	150	25.00
L[313760105000261]		2625	Dist (km)
>	L[313760105000133]	493	0.67
>	L[313760105000189]	218	0.63
>	L[313760105000219]	562	0.67
>	L[313760105000221]	2	1.12
>	L[313760105000260]	222	0.10
>	L[313760105000261]	271	0.00
>	L[313760105000262]	96	0.08
>	L[SHC1]	630	20.00
>	L[THC1]	131	25.00
L[313760105000264]		571	Dist (km)
>	L[313760105000264]	255	0.00
>	L[313760105000280]	149	2.52
>	L[SHC1]	137	20.00
>	L[THC1]	28	25.00
L[313760105000268]		8426	Dist (km)
>	L[313760105000150]	545	0.70
>	L[313760105000164]	490	0.50
>	L[313760105000190]	246	1.04
>	L[313760105000191]	303	1.00
>	L[313760105000192]	77	1.54
>	L[313760105000193]	198	0.86
>	L[313760105000220]	287	1.11
>	L[313760105000222]	164	0.60
>	L[313760105000223]	443	0.22
>	L[313760105000225]	182	1.30
>	L[313760105000226]	336	0.94
>	L[313760105000227]	460	0.60
>	L[313760105000228]	242	0.42
>	L[313760105000229]	486	0.81
>	L[313760105000266]	305	0.14
>	L[313760105000267]	264	0.34
>	L[313760105000268]	399	0.00
>	L[313760105000269]	424	0.09
>	L[313760105000281]	127	1.69
>	L[SHC1]	2022	20.00
>	L[THC1]	421	25.00
L[313760105000270]		2814	Dist (km)
>	L[313760105000016]	109	1.01
>	L[313760105000090]	447	0.47
>	L[313760105000091]	285	0.44
>	L[313760105000092]	45	0.63
>	L[313760105000144]	66	1.61
>	L[313760105000145]	301	1.50
>	L[313760105000270]	288	0.00
>	L[313760105000271]	257	0.32
>	L[313760114000008]	177	3.13
>	L[313760114000009]	18	2.33
>	L[SHC1]	675	20.00
>	L[THC1]	140	25.00
L[313760105000285]		2910	Dist (km)
>	L[313760105000106]	773	1.15
>	L[313760105000112]	86	0.93
>	L[313760105000167]	333	1.19
>	L[313760105000216]	178	1.29
>	L[313760105000230]	90	2.54
>	L[313760105000272]	425	1.66
>	L[313760105000285]	181	0.00
>	L[SHC1]	698	20.00
>	L[THC1]	145	25.00
L[313760115000003]		6785	Dist (km)
>	L[313760105000152]	124	1.36
>	L[313760115000001]	165	4.43
>	L[313760115000002]	92	4.92
>	L[313760115000003]	412	0.00
>	L[313760115000006]	4	3.82
>	L[313760115000007]	51	2.34
>	L[313760115000008]	354	3.72
>	L[313760115000009]	279	3.50
>	L[313760115000010]	135	4.33
>	L[313760115000011]	356	3.62
>	L[313760115000018]	394	2.83
>	L[313760115000019]	43	1.76
>	L[313760115000021]	154	1.16
>	L[313760115000022]	243	0.85
>	L[313760115000023]	54	1.12
>	L[313760115000024]	303	0.98
>	L[313760115000025]	334	1.22
>	L[313760115000026]	271	1.09
>	L[313760115000027]	339	0.96
>	L[313760115000029]	122	2.03
>	L[313760115000032]	340	0.84
>	L[313760115000033]	248	0.81
>	L[SHC1]	1628	20.00
>	L[THC1]	339	25.00
