SHC[SHC1]		213854	Dist (km)
>	L[CLU_1001]	154	20.00
>	L[CLU_1126]	22	20.00
>	L[CLU_1175]	653	20.00
>	L[CLU_1177]	126	20.00
>	L[CLU_1178]	209	20.00
>	L[CLU_1205]	210	20.00
>	L[CLU_1233]	104	20.00
>	L[CLU_1273]	690	20.00
>	L[CLU_1307]	427	20.00
>	L[CLU_1359]	161	20.00
>	L[CLU_1818]	97	20.00
>	L[CLU_1889]	26	20.00
>	L[CLU_1894]	297	20.00
>	L[CLU_2922]	1371	20.00
>	L[CLU_2925]	602	20.00
>	L[CLU_2926]	427	20.00
>	L[CLU_2927]	533	20.00
>	L[CLU_2928]	296	20.00
>	L[CLU_2929]	721	20.00
>	L[CLU_2930]	62	20.00
>	L[CLU_2931]	531	20.00
>	L[CLU_2932]	1853	20.00
>	L[CLU_2934]	524	20.00
>	L[CLU_2936]	577	20.00
>	L[CLU_2937]	2344	20.00
>	L[CLU_2939]	78	20.00
>	L[CLU_2941]	615	20.00
>	L[CLU_2942]	557	20.00
>	L[CLU_2943]	2372	20.00
>	L[CLU_2944]	426	20.00
>	L[CLU_2945]	601	20.00
>	L[CLU_2946]	261	20.00
>	L[CLU_2949]	586	20.00
>	L[CLU_2952]	393	20.00
>	L[CLU_2954]	1278	20.00
>	L[CLU_2955]	1975	20.00
>	L[CLU_2956]	1573	20.00
>	L[CLU_2957]	467	20.00
>	L[CLU_2959]	152	20.00
>	L[CLU_2960]	423	20.00
>	L[CLU_2961]	2345	20.00
>	L[CLU_2962]	592	20.00
>	L[CLU_2963]	163	20.00
>	L[CLU_2964]	1016	20.00
>	L[CLU_2965]	241	20.00
>	L[CLU_2966]	958	20.00
>	L[CLU_2968]	1276	20.00
>	L[CLU_2969]	526	20.00
>	L[CLU_2970]	569	20.00
>	L[CLU_2971]	1441	20.00
>	L[CLU_2972]	541	20.00
>	L[CLU_2973]	420	20.00
>	L[CLU_2974]	55	20.00
>	L[CLU_2975]	119	20.00
>	L[CLU_2976]	455	20.00
>	L[CLU_2977]	596	20.00
>	L[CLU_2978]	604	20.00
>	L[CLU_2981]	614	20.00
>	L[CLU_2983]	457	20.00
>	L[CLU_2988]	560	20.00
>	L[CLU_2990]	509	20.00
>	L[CLU_2991]	618	20.00
>	L[CLU_2993]	514	20.00
>	L[CLU_2994]	2414	20.00
>	L[CLU_2995]	194	20.00
>	L[CLU_2996]	610	20.00
>	L[CLU_2997]	1489	20.00
>	L[CLU_2998]	2224	20.00
>	L[CLU_2999]	470	20.00
>	L[CLU_3001]	358	20.00
>	L[CLU_3002]	309	20.00
>	L[CLU_3003]	402	20.00
>	L[CLU_3004]	516	20.00
>	L[CLU_3005]	1205	20.00
>	L[CLU_3007]	400	20.00
>	L[CLU_3008]	104	20.00
>	L[CLU_3010]	570	20.00
>	L[CLU_3011]	350	20.00
>	L[CLU_3012]	625	20.00
>	L[CLU_3013]	297	20.00
>	L[CLU_3014]	1632	20.00
>	L[CLU_3015]	61	20.00
>	L[CLU_3016]	1515	20.00
>	L[CLU_3017]	1055	20.00
>	L[CLU_3020]	723	20.00
>	L[CLU_3021]	603	20.00
>	L[CLU_3022]	606	20.00
>	L[CLU_3023]	548	20.00
>	L[CLU_3024]	338	20.00
>	L[CLU_3025]	2075	20.00
>	L[CLU_3028]	335	20.00
>	L[CLU_3029]	587	20.00
>	L[CLU_3030]	320	20.00
>	L[CLU_3031]	313	20.00
>	L[CLU_3033]	46	20.00
>	L[CLU_3034]	625	20.00
>	L[CLU_3035]	550	20.00
>	L[CLU_3037]	589	20.00
>	L[CLU_3041]	476	20.00
>	L[CLU_3043]	426	20.00
>	L[CLU_3044]	1662	20.00
>	L[CLU_3045]	568	20.00
>	L[CLU_3046]	556	20.00
>	L[CLU_3048]	464	20.00
>	L[CLU_3049]	602	20.00
>	L[CLU_3050]	475	20.00
>	L[CLU_3051]	2805	20.00
>	L[CLU_3052]	171	20.00
>	L[CLU_3053]	132	20.00
>	L[CLU_3054]	214	20.00
>	L[CLU_3055]	618	20.00
>	L[CLU_3057]	539	20.00
>	L[CLU_3058]	608	20.00
>	L[CLU_3059]	125	20.00
>	L[CLU_3060]	600	20.00
>	L[CLU_3061]	1045	20.00
>	L[CLU_3062]	578	20.00
>	L[CLU_3065]	390	20.00
>	L[CLU_3066]	610	20.00
>	L[CLU_3068]	44	20.00
>	L[CLU_3069]	359	20.00
>	L[CLU_3070]	588	20.00
>	L[CLU_3071]	322	20.00
>	L[CLU_3072]	577	20.00
>	L[CLU_3073]	757	20.00
>	L[CLU_3074]	605	20.00
>	L[CLU_3076]	408	20.00
>	L[CLU_3077]	526	20.00
>	L[CLU_3078]	820	20.00
>	L[CLU_3081]	445	20.00
>	L[CLU_3084]	304	20.00
>	L[CLU_3085]	583	20.00
>	L[CLU_3086]	585	20.00
>	L[CLU_3089]	452	20.00
>	L[CLU_3091]	119	20.00
>	L[CLU_3093]	522	20.00
>	L[CLU_3094]	271	20.00
>	L[CLU_3096]	386	20.00
>	L[CLU_3097]	173	20.00
>	L[CLU_3098]	861	20.00
>	L[CLU_3099]	455	20.00
>	L[CLU_3100]	329	20.00
>	L[CLU_3101]	537	20.00
>	L[CLU_3103]	560	20.00
>	L[CLU_3104]	592	20.00
>	L[CLU_3105]	295	20.00
>	L[CLU_3106]	93	20.00
