THC[THC1]		34159	Dist (km)
>	L[CLU_6221]	242	25.00
>	L[CLU_6228]	894	25.00
>	L[CLU_6229]	1007	25.00
>	L[CLU_6232]	594	25.00
>	L[CLU_6240]	196	25.00
>	L[CLU_6245]	2835	25.00
>	L[CLU_6247]	591	25.00
>	L[CLU_6253]	574	25.00
>	L[CLU_6261]	2189	25.00
>	L[CLU_6269]	870	25.00
>	L[CLU_6294]	770	25.00
>	L[CLU_6328]	730	25.00
>	L[CLU_6329]	515	25.00
>	L[CLU_6330]	186	25.00
>	L[CLU_6332]	206	25.00
>	L[CLU_6348]	1704	25.00
>	L[CLU_6360]	1664	25.00
>	L[CLU_6366]	2589	25.00
>	L[CLU_6367]	718	25.00
>	L[CLU_6371]	1137	25.00
>	L[CLU_6378]	397	25.00
>	L[CLU_6401]	2076	25.00
>	L[CLU_6403]	1120	25.00
>	L[CLU_6404]	160	25.00
>	L[CLU_6406]	537	25.00
>	L[CLU_6407]	849	25.00
>	L[CLU_6411]	887	25.00
>	L[CLU_6413]	486	25.00
>	L[CLU_6416]	598	25.00
>	L[3143306065341]	207	25.00
>	L[3143307780621]	514	25.00
>	L[3143303180166]	140	25.00
>	L[3143302203480]	629	25.00
>	L[3143306409911]	1223	25.00
>	L[3143305302854]	152	25.00
>	L[3143307836619]	297	25.00
>	L[3143302219379]	250	25.00
>	L[SHC1]	3415	20.00
