PHC	Capty	Exp	TCapty	Met	Use
[3118602190990]	9000	0	9000	6896	 0.77
[3118602191229]	6000	6000	12000	9473	 0.79
[3118602190591]	9000	0	9000	9000	 1.00
[3118602190567]	3000	3000	6000	6000	 1.00
[3118602190532]	9000	0	9000	9000	 1.00
[3118602190494]	6000	6000	12000	11403	 0.95
[3118602190869]	3000	9000	12000	11999	 1.00
[3118602190605]	3000	6000	9000	9000	 1.00
[3118602190109]	3000	6000	9000	8999	 1.00
[3118607116306]	6000	6000	12000	10344	 0.86
[3118602190931]	6000	3000	9000	8771	 0.97
[3118602190923]	12000	3000	15000	15000	 1.00
[3118602190893]	12000	3000	15000	13628	 0.91
[3118602190486]	12000	3000	15000	13051	 0.87
[3118602190915]	6000	9000	15000	15000	 1.00
[3118602190222]	9000	6000	15000	14999	 1.00
[3118604696077]	9000	6000	15000	14999	 1.00
[3118602191024]	3000	12000	15000	12121	 0.81
[3118602190478]	3000	3000	6000	6000	 1.00
[3118602190389]	6000	6000	12000	12000	 1.00
[3118607110316]	12000	3000	15000	15000	 1.00
[3118602220261]	3000	6000	9000	9000	 1.00
[3118602190397]	3000	9000	12000	10344	 0.86
[3118602190176]	3000	9000	12000	12000	 1.00
[3118602191059]	12000	3000	15000	14999	 1.00
[3118602191040]	3000	12000	15000	15000	 1.00
[3118602190451]	6000	6000	12000	10344	 0.86
[3118602190206]	6000	3000	9000	9000	 1.00
[3118602190966]	3000	6000	9000	6896	 0.77
[3118602190400]	3000	3000	6000	5999	 1.00
[3118602190877]	6000	6000	12000	9887	 0.82
[3118602190826]	9000	0	9000	8999	 1.00
[3118602190729]	6000	0	6000	5741	 0.96
[3118602190656]	6000	0	6000	6000	 1.00
[3118602190834]	3000	3000	6000	5999	 1.00
[3118602190710]	3000	3000	6000	5999	 1.00
[3118602190796]	3000	3000	6000	5717	 0.95
[3118602190648]	3000	3000	6000	5750	 0.96
[3118602190818]	9000	0	9000	8999	 1.00
[3118602190885]	9000	6000	15000	15000	 1.00
[3118607053355]	3000	9000	12000	10344	 0.86
[3118602190192]	3000	3000	6000	6000	 1.00
[3118602190214]	6000	6000	12000	11999	 1.00
[3118602190680]	9000	6000	15000	12631	 0.84
[3118602190753]	3000	6000	9000	8999	 1.00
[3118602190141]	3000	3000	6000	6000	 1.00
[3118602220245]	6000	6000	12000	9473	 0.79
[3118602190788]	3000	9000	12000	9473	 0.79
[CLU_2943*]:	3000	-	3000	3000	 1.00
[CLU_2961*]:	3000	-	3000	3000	 1.00
[CLU_2970*]:	3000	-	3000	3000	 1.00
[CLU_2971*]:	3000	-	3000	3000	 1.00
[CLU_3051*]:	3000	-	3000	2999	 1.00
[CLU_3055*]:	3000	-	3000	3000	 1.00
[CLU_3060*]:	3000	-	3000	3000	 1.00
[CLU_3084*]:	3000	-	3000	3000	 1.00
[CLU_3086*]:	3000	-	3000	2999	 1.00
[CLU_3098*]:	3000	-	3000	3000	 1.00
[CLU_3108*]:	3000	-	3000	3000	 1.00
[CLU_3121*]:	3000	-	3000	3000	 1.00
[CLU_3128*]:	3000	-	3000	3000	 1.00
[CLU_3141*]:	3000	-	3000	3000	 1.00
[CLU_3143*]:	3000	-	3000	2999	 1.00
[CLU_3160*]:	3000	-	3000	3000	 1.00
[CLU_3166*]:	3000	-	3000	2999	 1.00
[CLU_3176*]:	3000	-	3000	2999	 1.00
[CLU_3200*]:	3000	-	3000	3000	 1.00
[CLU_3214*]:	3000	-	3000	3000	 1.00
[CLU_7923*]:	3000	-	3000	3000	 1.00
