From	To	Team	Qty	Dist (km)
[3122302159694]	[3122302159503]	eSF	1.00	1.69
[3122302159538]	[3122306026028]	eSF	1.00	2.83
[3122302159511]	[3122307269161]	eSF	1.00	2.91
[3122302159597]	[3122302206323]	eSF	1.00	1.43
[3122302159678]	[3122302159414]	eSF	1.00	2.98
[3122302206315]	[3122302159473]	eSF	1.00	1.27
[3122302159694]	[3122302159597]	eSB	1.00	1.98
[3122300273600]	[3122302159503]	eSB	1.00	1.37
[3122302159422]	[3122302159414]	eSB	1.00	0.43
[3122304445651]	[3122302159473]	eSB	1.00	5.96
[3122304194500]	[3122307269161]	eSB	1.00	1.41
[3122302159392]	[3122307269161]	eSB	1.00	9.08
[3122302159392]	[3122302206323]	eSB	1.00	9.58
[3122306017940]	[3122302159562]	eSB	1.00	7.76
[3122302159694]	[3122302159511]	ACS	1.00	0.86
[3122302159694]	[3122302159503]	ACS	1.00	1.69
[3122302159694]	[3122302159597]	ACS	1.00	1.98
[3122302159694]	[3122307269161]	ACS	1.00	3.26
[3122302159694]	[3122302159473]	ACS	1.00	3.13
[3122302159422]	[3122302159414]	ACS	1.00	0.43
[3122304445651]	[3122306026028]	ACS	1.00	3.34
[3122302159392]	[3122307269161]	ACS	1.00	9.08
[3122302159392]	[3122302159473]	ACS	1.00	12.28
[3122302159392]	[3122304207866]	ACS	1.00	6.79
[3122302206315]	[3122307269161]	ACS	1.00	5.40
[3122302206315]	[3122302159473]	ACS	1.00	1.27
[3122302206315]	[3122302159546]	ACS	1.00	5.40
[3122302159554]	[3122303747719]	ACS	1.00	4.18
[3122302159554]	[3122302159589]	ACS	1.00	0.31
[3122307676875]	[3122302159457]	ACS	1.00	1.70
[3122302206323]	[3122302159449]	ACS	1.00	3.58
[3122307488882]	[3122302159562]	ACS	1.00	6.53
[3122302159287]	[CLU_3565]*	ACS	1.00	8.11
[3122302159287]	[CLU_4396]*	ACS	1.00	14.12
