ID,Origin_LONG,Origin_LAT,Destination_LONG,Destination_LAT,DIST,DUR,,,,,,
1,-43.887816,-19.628894,-43.887816,-19.628894,0,0,,,,,0,0
2,-43.887816,-19.628894,-43.886362,-19.623762,1057,124,,,,,1056.95,123.94
3,-43.887816,-19.628894,-43.882329,-19.637045,1454,168,,,,,1454.27,167.76
4,-43.887816,-19.628894,-43.885555,-19.638949,1287,138,,,,,1286.97,137.58
5,-43.887816,-19.628894,-43.882628,-19.639586,1507,217,,,,,1506.81,217.48
6,-43.887816,-19.628894,-43.869021,-19.640799,2993,349,,,,,2993.24,349.32
7,-43.887816,-19.628894,-43.8721,-19.645243,3159,302,,,,,3158.9,302.01
8,-43.887816,-19.628894,-43.878554,-19.649927,3046,318,,,,,3045.61,318.3
9,-43.887816,-19.628894,-43.874361,-19.65039,3336,331,,,,,3336.3,331.37
10,-43.887816,-19.628894,-43.874658,-19.654504,3655,338,,,,,3655.01,338.38
11,-43.887816,-19.628894,-43.890344,-19.646015,2819,335,,,,,2819.18,335.1
12,-43.887816,-19.628894,-43.875715,-19.666802,5123,478,,,,,5122.84,477.54
13,-43.887816,-19.628894,-43.901752,-19.649969,5083,582,,,,,5083.03,582.09
14,-43.887816,-19.628894,-43.90361,-19.647461,4167,408,,,,,4167.23,408.32
15,-43.887816,-19.628894,-43.90646,-19.649462,5746,482,,,,,5745.55,481.67
16,-43.887816,-19.628894,-43.931177,-19.664378,10104,754,,,,,10103.76,754.42
17,-43.887816,-19.628894,-43.908711,-19.648155,4481,432,,,,,4480.98,431.57
18,-43.887816,-19.628894,-43.916438,-19.638972,4290,380,,,,,4290.04,380.05
19,-43.887816,-19.628894,-43.908495,-19.63815,3333,331,,,,,3332.61,330.91
20,-43.887816,-19.628894,-43.901174,-19.634979,2254,220,,,,,2254.37,220.09
21,-43.887816,-19.628894,-43.89168,-19.628555,894,115,,,,,893.65,115.33
22,-43.887816,-19.628894,-43.90219,-19.626891,2152,263,,,,,2152.17,263.44
23,-43.887816,-19.628894,-43.903074,-19.625283,2934,288,,,,,2934.43,288.08
24,-43.887816,-19.628894,-43.909308,-19.606419,4479,427,,,,,4479.42,426.56
25,-43.887816,-19.628894,-43.910928,-19.605063,4727,446,,,,,4726.89,445.8
26,-43.887816,-19.628894,-43.905764,-19.596147,6000,563,,,,,5999.71,563.29
27,-43.887816,-19.628894,-43.904896,-19.601687,4043,358,,,,,4042.81,357.83
28,-43.887816,-19.628894,-43.835316,-19.647693,7686,763,,,,,7686.16,763.26
29,-43.887816,-19.628894,-43.928335,-19.670593,11726,821,,,,,11725.9,820.58
30,-43.887816,-19.628894,-43.935533,-19.660824,10695,825,,,,,10694.55,824.52
31,-43.887816,-19.628894,-43.904992,-19.591055,6175,611,,,,,6174.85,611.16
32,-43.887816,-19.628894,-43.896709,-19.6241,1988,190,,,,,1988.25,189.65
33,-43.887816,-19.628894,-43.896466,-19.626741,1288,164,,,,,1287.8,163.81
34,-43.887816,-19.628894,-43.889997,-19.625367,874,95,,,,,873.82,95.16
35,-43.887816,-19.628894,-43.891097,-19.62513,1041,142,,,,,1041.28,142.49
36,-43.887816,-19.628894,-43.880089,-19.630027,1162,216,,,,,1161.73,216.27
37,-43.887816,-19.628894,-43.884944,-19.635291,1163,142,,,,,1162.64,141.87
38,-43.887816,-19.628894,-43.884016,-19.641878,1727,196,,,,,1727.31,196.27
39,-43.887816,-19.628894,-43.881444,-19.64237,2325,238,,,,,2324.65,237.58
40,-43.887816,-19.628894,-43.879083,-19.642614,2309,229,,,,,2309.1,229.07
41,-43.887816,-19.628894,-43.879921,-19.640267,1989,215,,,,,1989.39,214.6
42,-43.887816,-19.628894,-43.873252,-19.640948,2916,297,,,,,2915.85,297.03
43,-43.887816,-19.628894,-43.876184,-19.642382,2430,264,,,,,2429.8,263.59
44,-43.887816,-19.628894,-43.86873,-19.648669,4002,419,,,,,4002.06,418.58
45,-43.887816,-19.628894,-43.873966,-19.648314,3166,299,,,,,3165.84,298.81
46,-43.887816,-19.628894,-43.876366,-19.648344,2996,309,,,,,2995.7,308.5
47,-43.887816,-19.628894,-43.878041,-19.645779,2590,269,,,,,2590.16,268.91
48,-43.887816,-19.628894,-43.880367,-19.645593,2475,237,,,,,2474.87,237.39
49,-43.887816,-19.628894,-43.882307,-19.646324,2275,219,,,,,2274.66,219.19
50,-43.887816,-19.628894,-43.864303,-19.65104,4357,418,,,,,4357.21,417.94
