RC[CLU_3233]		239	Dist (km)
>	L[CLU_3233]	180	0.00
>	L[CLU_3233] tel	9
>	L[SHC1]	36	20.00
>	L[SHC1] tel	2
>	L[THC1]	12	25.00
>	L[THC1] tel	1
RC[CLU_6117]		770	Dist (km)
>	L[CLU_6117]	608	0.00
>	L[SHC1]	116	20.00
>	L[SHC1] tel	6
>	L[THC1]	39	25.00
>	L[THC1] tel	2
RC[CLU_6220]		1753	Dist (km)
>	L[3143309772251]	1407	0.90
>	L[3143309772251] tel	70
>	L[SHC1]	263	20.00
>	L[SHC1] tel	13
RC[CLU_6221]		2623	Dist (km)
>	L[3143309812083]	2130	0.00
>	L[3143306301304]	493	0.00
RC[CLU_6222]		2895	Dist (km)
>	L[3143309812059]	2757	0.81
>	L[3143309812059] tel	138
RC[CLU_6223]		2800	Dist (km)
>	L[3143309772235]	2319	0.00
>	L[SHC1]	420	20.00
>	L[SHC1] tel	21
>	L[THC1]	38	25.00
>	L[THC1] tel	2
RC[CLU_6224]		2864	Dist (km)
>	L[3143309772251]	709	0.00
>	L[3143303180115]	2155	0.00
RC[CLU_6225]		2900	Dist (km)
>	L[3143303180115]	2762	0.48
>	L[3143303180115] tel	138
RC[CLU_6226]		2765	Dist (km)
>	L[3143305305063]	2633	0.49
>	L[3143305305063] tel	132
RC[CLU_6227]		2719	Dist (km)
>	L[3143307781067]	2182	0.61
>	L[3143307781067] tel	109
>	L[SHC1]	408	20.00
>	L[SHC1] tel	20
RC[CLU_6228]		2374	Dist (km)
>	L[3143309772227]	1905	0.57
>	L[3143309772227] tel	95
>	L[SHC1]	356	20.00
>	L[SHC1] tel	18
RC[CLU_6229]		2998	Dist (km)
>	L[3143307831331]	2855	0.58
>	L[3143307831331] tel	143
RC[CLU_6230]		2939	Dist (km)
>	L[3143307836619]	2794	0.45
>	L[3143307836619] tel	140
>	L[SHC1]	5	20.00
>	L[SHC1] tel	0
RC[CLU_6231]		2734	Dist (km)
>	L[3143307780621]	2734	0.00
RC[CLU_6232]		2830	Dist (km)
>	L[3143303180158]	2129	0.90
>	L[3143303180158] tel	106
>	L[SHC1]	425	20.00
>	L[SHC1] tel	21
>	L[THC1]	142	25.00
>	L[THC1] tel	7
RC[CLU_6233]		2943	Dist (km)
>	L[3143309812059]	2943	0.00
RC[CLU_6234]		1083	Dist (km)
>	L[3143302219352]	1031	0.43
>	L[3143302219352] tel	52
RC[CLU_6235]		2373	Dist (km)
>	L[3143309772235]	1785	0.61
>	L[3143309772235] tel	89
>	L[SHC1]	356	20.00
>	L[SHC1] tel	18
>	L[THC1]	119	25.00
>	L[THC1] tel	6
RC[CLU_6236]		1253	Dist (km)
>	L[3143303180115]	1193	0.72
>	L[3143303180115] tel	60
RC[CLU_6237]		2887	Dist (km)
>	L[3143305305063]	2750	0.49
>	L[3143305305063] tel	137
RC[CLU_6238]		2895	Dist (km)
>	L[3143305305063]	2895	0.00
RC[CLU_6239]		2931	Dist (km)
>	L[3143302150042]	2931	0.00
RC[CLU_6240]		2994	Dist (km)
>	L[3143302219212]	2994	0.00
RC[CLU_6241]		2819	Dist (km)
>	L[3143307781067]	2375	0.00
>	L[SHC1]	423	20.00
>	L[SHC1] tel	21
RC[CLU_6242]		1844	Dist (km)
>	L[3143307831331]	1652	0.00
>	L[SHC1]	182	20.00
>	L[SHC1] tel	9
RC[CLU_6243]		1792	Dist (km)
>	L[3143302218968]	1707	0.41
>	L[3143302218968] tel	85
RC[CLU_6244]		392	Dist (km)
>	L[3143302218968]	373	0.29
>	L[3143302218968] tel	19
RC[CLU_6245]		2835	Dist (km)
>	L[3143303180158]	2275	0.36
>	L[3143303180158] tel	114
>	L[SHC1]	425	20.00
>	L[SHC1] tel	21
>	L[THC1]	0	25.00
>	L[THC1] tel	0
RC[CLU_6246]		2923	Dist (km)
>	L[3143303180158]	2345	0.34
>	L[3143303180158] tel	117
>	L[SHC1]	438	20.00
>	L[SHC1] tel	22
RC[CLU_6247]		1281	Dist (km)
>	L[3143307821506]	727	0.14
>	L[3143303180166]	493	0.14
>	L[3143307821506] tel	36
>	L[3143303180166] tel	25
RC[CLU_6248]		389	Dist (km)
>	L[3143302218968]	370	0.43
>	L[3143302218968] tel	19
RC[CLU_6249]		2956	Dist (km)
>	L[3143302150107]	1008	0.00
>	L[3143307607660]	1948	0.00
RC[CLU_6250]		2838	Dist (km)
>	L[3143302219107]	2838	0.00
RC[CLU_6251]		633	Dist (km)
>	L[3143302219352]	603	0.73
>	L[3143302219352] tel	30
RC[CLU_6252]		2668	Dist (km)
>	L[3143302219352]	2668	0.00
RC[CLU_6253]		574	Dist (km)
>	L[3143306023282]	547	0.26
>	L[3143306023282] tel	27
RC[CLU_6254]		2479	Dist (km)
>	L[3143306023282]	2479	0.00
RC[CLU_6255]		2920	Dist (km)
>	L[3143306023282]	2781	0.68
>	L[3143306023282] tel	139
RC[CLU_6256]		2434	Dist (km)
>	L[3143306023282]	2318	0.86
>	L[3143306023282] tel	116
RC[CLU_6257]		2766	Dist (km)
>	L[3143303180182]	2634	0.69
>	L[3143303180182] tel	132
RC[CLU_6258]		2835	Dist (km)
>	L[3143303180182]	2835	0.00
RC[CLU_6259]		2231	Dist (km)
>	L[3143303180182]	2125	0.43
>	L[3143303180182] tel	106
RC[CLU_6260]		2583	Dist (km)
>	L[3143302219085]	2460	0.29
>	L[3143302219085] tel	123
RC[CLU_6261]		2189	Dist (km)
>	L[3143302219085]	2051	0.00
>	L[SHC1]	132	20.00
>	L[SHC1] tel	7
RC[CLU_6262]		3126	Dist (km)
>	L[3143302149893]	2977	0.41
>	L[3143302149893] tel	149
RC[CLU_6263]		1820	Dist (km)
>	L[3143302149893]	1733	0.75
>	L[3143302149893] tel	87
RC[CLU_6264]		1428	Dist (km)
>	L[3143307781067]	1154	0.07
>	L[3143307781067] tel	58
>	L[SHC1]	206	20.00
>	L[SHC1] tel	10
RC[CLU_6265]		2471	Dist (km)
>	L[3143309352511]	1983	0.51
>	L[3143309352511] tel	99
>	L[SHC1]	371	20.00
>	L[SHC1] tel	19
RC[CLU_6266]		2780	Dist (km)
>	L[3143309132481]	1500	0.00
>	L[3143309772227]	1000	0.00
>	L[SHC1]	267	20.00
>	L[SHC1] tel	13
RC[CLU_6267]		2203	Dist (km)
>	L[3143309352511]	1856	0.00
>	L[SHC1]	330	20.00
>	L[SHC1] tel	17
RC[CLU_6268]		2845	Dist (km)
>	L[3143309812032]	77	0.76
>	L[3143307836619]	2206	0.76
>	L[3143309812032] tel	4
>	L[3143307836619] tel	110
>	L[SHC1]	427	20.00
>	L[SHC1] tel	21
RC[CLU_6269]		2919	Dist (km)
>	L[3143309812032]	2919	0.00
RC[CLU_6270]		2951	Dist (km)
>	L[3143302149915]	2951	0.00
RC[CLU_6271]		2085	Dist (km)
>	L[3143302219352]	1986	0.79
>	L[3143302219352] tel	99
RC[CLU_6272]		3371	Dist (km)
>	L[3143302149931]	3210	0.54
>	L[3143302149931] tel	161
RC[CLU_6273]		2973	Dist (km)
>	L[3143300211826]	2973	0.00
RC[CLU_6274]		1887	Dist (km)
>	L[3143302149931]	1797	0.46
>	L[3143302149931] tel	90
RC[CLU_6275]		2266	Dist (km)
>	L[3143302219077]	2266	0.00
RC[CLU_6276]		2101	Dist (km)
>	L[3143302150026]	2001	0.47
>	L[3143302150026] tel	100
RC[CLU_6277]		2308	Dist (km)
>	L[3143302150085]	2308	0.00
RC[CLU_6278]		736	Dist (km)
>	L[3143302219085]	591	0.66
>	L[3143302219085] tel	30
>	L[SHC1]	110	20.00
>	L[SHC1] tel	6
RC[CLU_6279]		2654	Dist (km)
>	L[3143302150018]	2528	0.86
>	L[3143302150018] tel	126
RC[CLU_6280]		1918	Dist (km)
>	L[3143302150069]	1827	0.27
>	L[3143302150069] tel	91
RC[CLU_6281]		2910	Dist (km)
>	L[3143302218984]	2910	0.00
