THC[THC1]		34880	Dist (km)
>	L[CLU_6224]	458	25.00
>	L[CLU_6230]	5	25.00
>	L[CLU_6233]	2276	25.00
>	L[CLU_6239]	801	25.00
>	L[CLU_6240]	0	25.00
>	L[CLU_6241]	444	25.00
>	L[CLU_6249]	95	25.00
>	L[CLU_6266]	715	25.00
>	L[CLU_6273]	862	25.00
>	L[CLU_6286]	2713	25.00
>	L[CLU_6300]	193	25.00
>	L[CLU_6304]	1383	25.00
>	L[CLU_6305]	560	25.00
>	L[CLU_6307]	442	25.00
>	L[CLU_6317]	423	25.00
>	L[CLU_6324]	1714	25.00
>	L[CLU_6333]	2677	25.00
>	L[CLU_6339]	418	25.00
>	L[CLU_6343]	523	25.00
>	L[CLU_6344]	415	25.00
>	L[CLU_6358]	2311	25.00
>	L[CLU_6364]	449	25.00
>	L[CLU_6369]	769	25.00
>	L[CLU_6370]	469	25.00
>	L[CLU_6371]	1137	25.00
>	L[CLU_6377]	1539	25.00
>	L[CLU_6378]	659	25.00
>	L[CLU_6398]	230	25.00
>	L[CLU_6399]	353	25.00
>	L[CLU_6400]	426	25.00
>	L[CLU_6405]	0	25.00
>	L[CLU_6410]	128	25.00
>	L[CLU_6412]	787	25.00
>	L[CLU_6414]	303	25.00
>	L[CLU_6416]	1124	25.00
>	L[CLU_6419]	101	25.00
>	L[3143306329632]	1202	25.00
>	L[3143305212588]	34	25.00
>	L[3143302203480]	711	25.00
>	L[3143302219212]	1540	25.00
>	L[SHC1]	3488	20.00
