PHC	Capty	Exp	TCapty	Met	Use
[3143309772235]	6000	3000	9000	6301	 0.70
[3143309772251]	6000	0	6000	4375	 0.73
[3143309812059]	9000	0	9000	7847	 0.87
[3143305305063]	9000	0	9000	8547	 0.95
[3143307781067]	3000	6000	9000	9000	 1.00
[3143309132481]	3000	0	3000	1500	 0.50
[3143307831331]	3000	3000	6000	4650	 0.78
[3143300659134]	6000	0	6000	5198	 0.87
[3143303180158]	3000	9000	12000	11094	 0.92
[3143307821506]	9000	0	9000	5254	 0.58
[3143302150107]	6000	0	6000	2799	 0.47
[3143309775978]	3000	0	3000	0	 0.00
[3143302219107]	6000	0	6000	3405	 0.57
[3143302219352]	9000	3000	12000	11735	 0.98
[3143303180182]	12000	0	12000	10046	 0.84
[3143302150042]	3000	0	3000	3000	 1.00
[3143302219085]	6000	3000	9000	8019	 0.89
[3143309812032]	3000	0	3000	3000	 1.00
[3143302149915]	12000	3000	15000	15000	 1.00
[3143307299079]	3000	3000	6000	4073	 0.68
[3143302150018]	9000	0	9000	8509	 0.95
[3143302218984]	12000	0	12000	6614	 0.55
[3143306065295]	12000	0	12000	11726	 0.98
[3143302219069]	9000	0	9000	9000	 1.00
[3143306629296]	3000	0	3000	1190	 0.40
[3143302149923]	9000	3000	12000	12000	 1.00
[3143306065341]	9000	0	9000	7813	 0.87
[3143306329705]	9000	0	9000	4179	 0.46
[3143306297943]	3000	3000	6000	5000	 0.83
[3143307780621]	3000	3000	6000	5306	 0.88
[3143303180166]	3000	0	3000	729	 0.24
[3143302149893]	9000	0	9000	9000	 1.00
[3143302150026]	12000	0	12000	9477	 0.79
[3143300550108]	6000	3000	9000	7777	 0.86
[3143303413578]	3000	0	3000	2955	 0.98
[3143306329632]	12000	0	12000	4145	 0.35
[3143305212588]	3000	0	3000	118	 0.04
[3143309812083]	3000	0	3000	3000	 1.00
[3143306023282]	3000	9000	12000	10847	 0.90
[3143302218968]	12000	0	12000	9317	 0.78
[3143309772227]	3000	0	3000	3000	 1.00
[3143302203480]	6000	0	6000	2452	 0.41
[3143302150085]	6000	3000	9000	7602	 0.84
[3143300211826]	3000	0	3000	2973	 0.99
[3143302149931]	9000	0	9000	6949	 0.77
[3143309352511]	6000	6000	12000	10944	 0.91
[3143309251553]	3000	3000	6000	4500	 0.75
[3143305998220]	3000	3000	6000	4791	 0.80
[3143309690905]	6000	0	6000	5480	 0.91
[3143307608756]	3000	0	3000	3000	 1.00
[3143306409911]	3000	0	3000	3000	 1.00
[3143307780907]	9000	0	9000	8068	 0.90
[3143309936424]	6000	3000	9000	7500	 0.83
[3143309812075]	3000	0	3000	2486	 0.83
[3143306301304]	3000	0	3000	1500	 0.50
[3143303688100]	9000	0	9000	7858	 0.87
[3143303180115]	6000	3000	9000	6308	 0.70
[3143305302854]	6000	0	6000	3000	 0.50
[3143302219212]	12000	0	12000	6704	 0.56
[3143302149958]	9000	0	9000	5460	 0.61
[3143307951345]	3000	3000	6000	3922	 0.65
[3143302219077]	3000	6000	9000	7879	 0.88
[3143302219344]	3000	0	3000	3000	 1.00
[3143307607660]	6000	0	6000	2610	 0.44
[3143302150069]	6000	0	6000	5615	 0.94
[3143307809131]	3000	3000	6000	5617	 0.94
[3143300186252]	6000	0	6000	2558	 0.43
[3143304701852]	3000	3000	6000	4867	 0.81
[3143307836619]	3000	3000	6000	5250	 0.88
[3143305212545]	9000	3000	12000	9239	 0.77
[3143302150077]	3000	0	3000	3000	 1.00
[3143302150034]	6000	0	6000	3354	 0.56
[3143302219409]	3000	0	3000	600	 0.20
[3143305212529]	3000	0	3000	3000	 1.00
[3143302219379]	3000	0	3000	2627	 0.88
[CLU_3233*]	9000	0	9000	189	 0.02
[CLU_6117*]	9000	0	9000	897	 0.10
[CLU_6299*]	9000	0	9000	222	 0.02
[CLU_6301*]	9000	0	9000	2424	 0.27
[CLU_6398*]	9000	0	9000	793	 0.09
[CLU_6410*]	9000	0	9000	231	 0.03
[CLU_6411*]	9000	0	9000	2500	 0.28
[CLU_6414*]	9000	0	9000	625	 0.07
[CLU_6415*]	9000	0	9000	252	 0.03
[CLU_6417*]	9000	0	9000	467	 0.05
