From	To	Team	Qty	Dist (km)
[3143307821506]	[3143302219352]	eSF	1.00	1.98
[3143302218984]	[3143302149923]	eSF	1.00	1.20
[3143306329705]	[3143309352511]	eSF	1.00	1.72
[3143306329632]	[3143306023282]	eSF	1.00	5.69
[3143302203480]	[3143302150085]	eSF	1.00	4.73
[3143305302854]	[3143302219077]	eSF	1.00	2.96
[3143302150034]	[CLU_6301]*	eSF	1.00	15.93
[3143307821506]	[3143302219352]	eSB	1.00	1.98
[3143309775978]	[3143302219352]	eSB	1.00	1.98
[3143306329632]	[3143306023282]	eSB	1.00	5.69
[3143305302854]	[3143302219077]	eSB	1.00	2.96
[3143309772235]	[3143307781067]	ACS	1.00	3.25
[3143309772235]	[3143303180158]	ACS	1.00	2.60
[3143309772251]	[3143307781067]	ACS	1.00	1.89
[3143309772251]	[3143303180158]	ACS	1.00	3.03
[3143309132481]	[3143303180158]	ACS	1.00	4.19
[3143300659134]	[3143303180158]	ACS	1.00	2.64
[3143307821506]	[3143302219352]	ACS	1.00	1.98
[3143307821506]	[3143302219085]	ACS	1.00	5.60
[3143307821506]	[3143306023282]	ACS	1.00	3.18
[3143302150107]	[3143302219352]	ACS	1.00	4.64
[3143302150107]	[3143302219085]	ACS	1.00	8.54
[3143302150107]	[CLU_6411]*	ACS	1.00	11.66
[3143302150107]	[CLU_6412]*	ACS	1.00	11.64
[3143309775978]	[3143302219352]	ACS	1.00	1.98
[3143309775978]	[3143302219085]	ACS	1.00	5.60
[3143309775978]	[3143306023282]	ACS	1.00	3.18
[3143302219107]	[3143302219085]	ACS	1.00	8.27
[3143303180182]	[3143302219085]	ACS	1.00	1.25
[3143303180182]	[3143306023282]	ACS	1.00	2.17
[3143303180182]	[3143302150085]	ACS	1.00	1.62
[3143303180182]	[3143309251553]	ACS	1.00	1.54
[3143303180182]	[3143302219077]	ACS	1.00	2.47
[3143302150042]	[3143302219085]	ACS	1.00	0.56
[3143309812032]	[3143307836619]	ACS	1.00	0.00
[3143302150018]	[3143302150085]	ACS	1.00	2.45
[3143302218984]	[3143302150085]	ACS	1.00	2.91
[3143302218984]	[3143309352511]	ACS	1.00	1.81
[3143302219069]	[3143305212545]	ACS	1.00	2.50
[3143306629296]	[3143302150085]	ACS	1.00	2.92
[3143302149923]	[3143309352511]	ACS	1.00	1.41
[3143306065341]	[CLU_6301]*	ACS	1.00	13.74
[3143306329705]	[3143309352511]	ACS	1.00	1.72
[3143306297943]	[CLU_6301]*	ACS	1.00	9.25
[3143303180166]	[3143306023282]	ACS	1.00	3.18
[3143302149893]	[3143306023282]	ACS	1.00	3.49
[3143302149893]	[3143302150085]	ACS	1.00	2.42
[3143302149893]	[3143309352511]	ACS	1.00	1.54
[3143302150026]	[3143306023282]	ACS	1.00	3.46
[3143302150026]	[3143309690905]	ACS	1.00	1.23
[3143302150026]	[3143309936424]	ACS	1.00	0.83
[3143302150026]	[3143302219077]	ACS	1.00	1.08
[3143302150026]	[3143305212545]	ACS	1.00	1.83
[3143306329632]	[CLU_6411]*	ACS	1.00	12.70
[3143309812083]	[3143306023282]	ACS	1.00	3.31
[3143309812083]	[3143309772227]	ACS	1.00	1.32
[3143309812083]	[3143303180115]	ACS	1.00	1.85
[3143302218968]	[CLU_6411]*	ACS	1.00	13.43
[3143302203480]	[3143302219077]	ACS	1.00	2.16
[3143302149931]	[3143305212545]	ACS	1.00	2.80
[3143307608756]	[CLU_6301]*	ACS	1.00	13.68
[3143309812075]	[3143303180115]	ACS	1.00	2.12
[3143306301304]	[3143303180115]	ACS	1.00	1.85
[3143306301304]	[3143307836619]	ACS	1.00	1.20
[3143302219344]	[3143305212545]	ACS	1.00	2.50
[3143307607660]	[CLU_6411]*	ACS	1.00	11.66
[3143300186252]	[CLU_6398]*	ACS	1.00	9.52
[3143302150077]	[CLU_6301]*	ACS	1.00	13.68
[3143302219379]	[CLU_6117]*	ACS	1.00	22.35
[3143302219379]	[CLU_6414]*	ACS	1.00	5.98
[3143302219379]	[CLU_6417]*	ACS	1.00	18.13
