THC[THC1]		80961	Dist (km)
>	L[CLU_1894]	297	25.00
>	L[CLU_2927]	444	25.00
>	L[CLU_2933]	577	25.00
>	L[CLU_2940]	990	25.00
>	L[CLU_2942]	660	25.00
>	L[CLU_2945]	601	25.00
>	L[CLU_2946]	261	25.00
>	L[CLU_2947]	513	25.00
>	L[CLU_2948]	489	25.00
>	L[CLU_2950]	803	25.00
>	L[CLU_2952]	1360	25.00
>	L[CLU_2954]	268	25.00
>	L[CLU_2956]	516	25.00
>	L[CLU_2957]	467	25.00
>	L[CLU_2961]	595	25.00
>	L[CLU_2963]	163	25.00
>	L[CLU_2966]	514	25.00
>	L[CLU_2969]	526	25.00
>	L[CLU_2977]	596	25.00
>	L[CLU_2978]	604	25.00
>	L[CLU_2981]	614	25.00
>	L[CLU_2985]	196	25.00
>	L[CLU_2986]	123	25.00
>	L[CLU_2987]	534	25.00
>	L[CLU_2988]	560	25.00
>	L[CLU_2989]	1895	25.00
>	L[CLU_2990]	509	25.00
>	L[CLU_2991]	618	25.00
>	L[CLU_2992]	782	25.00
>	L[CLU_2997]	590	25.00
>	L[CLU_2998]	2284	25.00
>	L[CLU_3000]	617	25.00
>	L[CLU_3003]	402	25.00
>	L[CLU_3006]	422	25.00
>	L[CLU_3010]	570	25.00
>	L[CLU_3011]	350	25.00
>	L[CLU_3013]	297	25.00
>	L[CLU_3014]	596	25.00
>	L[CLU_3017]	221	25.00
>	L[CLU_3021]	603	25.00
>	L[CLU_3024]	338	25.00
>	L[CLU_3028]	1598	25.00
>	L[CLU_3032]	349	25.00
>	L[CLU_3034]	625	25.00
>	L[CLU_3036]	2009	25.00
>	L[CLU_3037]	589	25.00
>	L[CLU_3038]	371	25.00
>	L[CLU_3041]	476	25.00
>	L[CLU_3044]	2392	25.00
>	L[CLU_3052]	171	25.00
>	L[CLU_3060]	600	25.00
>	L[CLU_3062]	578	25.00
>	L[CLU_3064]	599	25.00
>	L[CLU_3065]	273	25.00
>	L[CLU_3067]	628	25.00
>	L[CLU_3069]	359	25.00
>	L[CLU_3070]	588	25.00
>	L[CLU_3072]	1303	25.00
>	L[CLU_3074]	605	25.00
>	L[CLU_3079]	140	25.00
>	L[CLU_3081]	445	25.00
>	L[CLU_3083]	598	25.00
>	L[CLU_3085]	583	25.00
>	L[CLU_3088]	609	25.00
>	L[CLU_3095]	514	25.00
>	L[CLU_3096]	386	25.00
>	L[CLU_3097]	173	25.00
>	L[CLU_3098]	861	25.00
>	L[CLU_3099]	455	25.00
>	L[CLU_3103]	560	25.00
>	L[CLU_3104]	592	25.00
>	L[CLU_3108]	217	25.00
>	L[CLU_3112]	159	25.00
>	L[CLU_3115]	9	25.00
>	L[CLU_3121]	351	25.00
>	L[CLU_3127]	619	25.00
>	L[CLU_3128]	614	25.00
>	L[CLU_3129]	108	25.00
>	L[CLU_3131]	135	25.00
>	L[CLU_3133]	554	25.00
>	L[CLU_3134]	514	25.00
>	L[CLU_3138]	573	25.00
>	L[CLU_3141]	219	25.00
>	L[CLU_3142]	612	25.00
>	L[CLU_3143]	450	25.00
>	L[CLU_3146]	268	25.00
>	L[CLU_3155]	339	25.00
>	L[CLU_3158]	446	25.00
>	L[CLU_3162]	542	25.00
>	L[CLU_3174]	617	25.00
>	L[CLU_3175]	373	25.00
>	L[CLU_3176]	612	25.00
>	L[CLU_3181]	450	25.00
>	L[CLU_3185]	426	25.00
>	L[CLU_3186]	293	25.00
>	L[CLU_3189]	2100	25.00
>	L[CLU_3191]	527	25.00
>	L[CLU_3195]	610	25.00
>	L[CLU_3196]	328	25.00
>	L[CLU_3198]	1421	25.00
>	L[CLU_3199]	447	25.00
>	L[CLU_3202]	575	25.00
>	L[CLU_3204]	507	25.00
>	L[CLU_3206]	2708	25.00
>	L[CLU_3210]	615	25.00
>	L[CLU_3212]	729	25.00
>	L[CLU_956]	259	25.00
>	L[3118607116306]	616	25.00
>	L[3118602190451]	1500	25.00
>	L[3118602190877]	1500	25.00
>	L[CLU_2961]	2229	25.00
>	L[CLU_3060]	2250	25.00
>	L[SHC1]	8096	20.00
