From	To	Team	Qty	Dist (km)
[3118602190990]	[CLU_3214]*	eSF	1.00	1.78
[3118602191229]	[CLU_3214]*	eSF	1.00	1.35
[3118602190591]	[CLU_3200]*	eSF	1.00	3.25
[3118602190532]	[CLU_2961]*	eSF	1.00	0.86
[3118602190532]	[CLU_3121]*	eSF	1.00	6.79
[3118602190494]	[CLU_3214]*	eSF	1.00	5.18
[3118607116306]	[CLU_2943]*	eSF	1.00	5.06
[3118602190931]	[CLU_2971]*	eSF	1.00	1.43
[3118602190923]	[CLU_2961]*	eSF	1.00	3.79
[3118602190923]	[CLU_2970]*	eSF	2.00	2.81
[3118602190923]	[CLU_3055]*	eSF	1.00	7.17
[3118602190893]	[3118602190222]	eSF	2.00	0.81
[3118602190893]	[CLU_2970]*	eSF	1.00	3.78
[3118602190486]	[CLU_2961]*	eSF	2.00	2.98
[3118602190915]	[CLU_2970]*	eSF	1.00	4.18
[3118604696077]	[3118602190680]	eSF	1.00	7.46
[3118602190389]	[CLU_3051]*	eSF	1.00	1.04
[3118607110316]	[CLU_3051]*	eSF	1.00	2.62
[3118607110316]	[CLU_3060]*	eSF	2.00	2.44
[3118602191059]	[CLU_3166]*	eSF	1.00	4.15
[3118602191059]	[CLU_3200]*	eSF	1.00	4.25
[3118602190451]	[CLU_3084]*	eSF	1.00	1.25
[3118602190206]	[CLU_3084]*	eSF	1.00	0.85
[3118602190877]	[CLU_3051]*	eSF	1.00	3.27
[3118602190826]	[CLU_3114]*	eSF	1.00	2.29
[3118602190729]	[CLU_3114]*	eSF	1.00	5.70
[3118602190656]	[CLU_7923]*	eSF	1.00	7.67
[3118602190818]	[CLU_3114]*	eSF	1.00	2.42
[3118602190885]	[CLU_3214]*	eSF	1.00	8.68
[3118602190214]	[CLU_3143]*	eSF	1.00	0.88
[3118602220245]	[CLU_3121]*	eSF	1.00	1.92
[3118602191059]	[CLU_3051]*	eSB	1.00	1.50
[3118602190591]	[CLU_3214]*	eMulti	1.00	1.96
[3118602190931]	[CLU_2970]*	eMulti	1.00	1.56
[3118602190923]	[CLU_2961]*	eMulti	1.00	3.79
[3118602190486]	[CLU_3176]*	eMulti	1.00	10.80
[3118607110316]	[CLU_3051]*	eMulti	1.00	2.62
[3118602190656]	[CLU_3114]*	eMulti	1.00	5.70
[3118602190591]	[CLU_2943]*	ACS	1.00	0.66
[3118602190532]	[CLU_2971]*	ACS	3.00	0.83
[3118602190605]	[CLU_2961]*	ACS	2.00	1.84
[3118602190931]	[CLU_2971]*	ACS	2.00	1.43
[3118602190923]	[3118602190222]	ACS	7.00	1.15
[3118602190486]	[CLU_2970]*	ACS	1.00	2.16
[3118602190486]	[CLU_2971]*	ACS	1.00	2.46
[3118607110316]	[3118602190397]	ACS	2.00	1.45
[3118602190710]	[3118602190648]	ACS	3.00	1.17
[3118602190710]	[3118602190818]	ACS	2.00	4.12
[3118602190710]	[CLU_3087]*	ACS	4.00	2.30
