SHC[SHC1]		216000	Dist (km)
>	L[CLU_1001]	154	20.00
>	L[CLU_1126]	108	20.00
>	L[CLU_1177]	125	20.00
>	L[CLU_1178]	209	20.00
>	L[CLU_1205]	210	20.00
>	L[CLU_1233]	104	20.00
>	L[CLU_1273]	144	20.00
>	L[CLU_1296]	454	20.00
>	L[CLU_1307]	427	20.00
>	L[CLU_1818]	464	20.00
>	L[CLU_1821]	246	20.00
>	L[CLU_1868]	6	20.00
>	L[CLU_1894]	297	20.00
>	L[CLU_2922]	287	20.00
>	L[CLU_2923]	1290	20.00
>	L[CLU_2927]	1726	20.00
>	L[CLU_2928]	296	20.00
>	L[CLU_2929]	721	20.00
>	L[CLU_2930]	62	20.00
>	L[CLU_2931]	2529	20.00
>	L[CLU_2934]	524	20.00
>	L[CLU_2939]	78	20.00
>	L[CLU_2941]	615	20.00
>	L[CLU_2942]	557	20.00
>	L[CLU_2943]	622	20.00
>	L[CLU_2944]	2033	20.00
>	L[CLU_2947]	513	20.00
>	L[CLU_2950]	646	20.00
>	L[CLU_2953]	628	20.00
>	L[CLU_2955]	475	20.00
>	L[CLU_2956]	516	20.00
>	L[CLU_2957]	467	20.00
>	L[CLU_2958]	627	20.00
>	L[CLU_2959]	152	20.00
>	L[CLU_2960]	423	20.00
>	L[CLU_2962]	592	20.00
>	L[CLU_2964]	573	20.00
>	L[CLU_2965]	241	20.00
>	L[CLU_2966]	514	20.00
>	L[CLU_2968]	575	20.00
>	L[CLU_2970]	569	20.00
>	L[CLU_2971]	409	20.00
>	L[CLU_2973]	420	20.00
>	L[CLU_2974]	55	20.00
>	L[CLU_2977]	596	20.00
>	L[CLU_2978]	604	20.00
>	L[CLU_2979]	2003	20.00
>	L[CLU_2984]	605	20.00
>	L[CLU_2986]	123	20.00
>	L[CLU_2987]	534	20.00
>	L[CLU_2988]	1826	20.00
>	L[CLU_2989]	1895	20.00
>	L[CLU_2990]	509	20.00
>	L[CLU_2991]	906	20.00
>	L[CLU_2992]	164	20.00
>	L[CLU_2993]	514	20.00
>	L[CLU_2994]	506	20.00
>	L[CLU_2995]	194	20.00
>	L[CLU_2996]	610	20.00
>	L[CLU_2998]	534	20.00
>	L[CLU_3000]	617	20.00
>	L[CLU_3002]	309	20.00
>	L[CLU_3003]	402	20.00
>	L[CLU_3006]	422	20.00
>	L[CLU_3009]	528	20.00
>	L[CLU_3010]	570	20.00
>	L[CLU_3012]	625	20.00
>	L[CLU_3013]	297	20.00
>	L[CLU_3015]	61	20.00
>	L[CLU_3016]	2429	20.00
>	L[CLU_3018]	549	20.00
>	L[CLU_3021]	951	20.00
>	L[CLU_3022]	606	20.00
>	L[CLU_3025]	435	20.00
>	L[CLU_3026]	2397	20.00
>	L[CLU_3027]	434	20.00
>	L[CLU_3029]	587	20.00
>	L[CLU_3032]	600	20.00
>	L[CLU_3033]	46	20.00
>	L[CLU_3034]	625	20.00
>	L[CLU_3035]	933	20.00
>	L[CLU_3036]	433	20.00
>	L[CLU_3037]	2089	20.00
>	L[CLU_3040]	196	20.00
>	L[CLU_3041]	476	20.00
>	L[CLU_3042]	2623	20.00
>	L[CLU_3044]	1576	20.00
>	L[CLU_3047]	1881	20.00
>	L[CLU_3048]	464	20.00
>	L[CLU_3049]	602	20.00
>	L[CLU_3051]	2231	20.00
>	L[CLU_3056]	139	20.00
>	L[CLU_3058]	1000	20.00
>	L[CLU_3059]	125	20.00
>	L[CLU_3060]	600	20.00
>	L[CLU_3065]	910	20.00
>	L[CLU_3066]	610	20.00
>	L[CLU_3067]	957	20.00
>	L[CLU_3068]	44	20.00
>	L[CLU_3070]	1338	20.00
>	L[CLU_3071]	322	20.00
>	L[CLU_3072]	1120	20.00
>	L[CLU_3073]	179	20.00
>	L[CLU_3074]	961	20.00
>	L[CLU_3077]	526	20.00
>	L[CLU_3078]	2591	20.00
>	L[CLU_3079]	532	20.00
>	L[CLU_3080]	368	20.00
>	L[CLU_3081]	726	20.00
>	L[CLU_3083]	2852	20.00
>	L[CLU_3086]	585	20.00
>	L[CLU_3088]	609	20.00
>	L[CLU_3090]	1398	20.00
>	L[CLU_3091]	119	20.00
>	L[CLU_3092]	165	20.00
>	L[CLU_3093]	522	20.00
>	L[CLU_3096]	386	20.00
>	L[CLU_3099]	455	20.00
>	L[CLU_3100]	329	20.00
>	L[CLU_3101]	537	20.00
>	L[CLU_3103]	560	20.00
>	L[CLU_3106]	93	20.00
>	L[CLU_3107]	954	20.00
>	L[CLU_3111]	259	20.00
>	L[CLU_3114]	267	20.00
>	L[CLU_3115]	9	20.00
>	L[CLU_3119]	146	20.00
>	L[CLU_3121]	351	20.00
>	L[CLU_3122]	1310	20.00
>	L[CLU_3123]	234	20.00
>	L[CLU_3124]	101	20.00
>	L[CLU_3125]	248	20.00
>	L[CLU_3126]	31	20.00
>	L[CLU_3127]	619	20.00
>	L[CLU_3128]	2926	20.00
>	L[CLU_3129]	108	20.00
>	L[CLU_3130]	65	20.00
>	L[CLU_3132]	625	20.00
>	L[CLU_3134]	514	20.00
>	L[CLU_3135]	1624	20.00
>	L[CLU_3136]	542	20.00
>	L[CLU_3137]	486	20.00
>	L[CLU_3138]	1957	20.00
>	L[CLU_3139]	1611	20.00
>	L[CLU_3141]	219	20.00
>	L[CLU_3142]	612	20.00
>	L[CLU_3145]	2512	20.00
>	L[CLU_3146]	268	20.00
>	L[CLU_3147]	1411	20.00
>	L[CLU_3148]	1350	20.00
>	L[CLU_3149]	1347	20.00
>	L[CLU_3150]	307	20.00
>	L[CLU_3151]	2538	20.00
>	L[CLU_3152]	719	20.00
>	L[CLU_3154]	688	20.00
>	L[CLU_3155]	1616	20.00
>	L[CLU_3156]	527	20.00
>	L[CLU_3157]	234	20.00
>	L[CLU_3158]	610	20.00
>	L[CLU_3159]	709	20.00
>	L[CLU_3160]	626	20.00
>	L[CLU_3161]	84	20.00
>	L[CLU_3162]	542	20.00
>	L[CLU_3163]	733	20.00
>	L[CLU_3164]	555	20.00
>	L[CLU_3165]	443	20.00
>	L[CLU_3166]	413	20.00
>	L[CLU_3167]	150	20.00
>	L[CLU_3168]	91	20.00
>	L[CLU_3169]	307	20.00
>	L[CLU_3170]	2321	20.00
>	L[CLU_3173]	141	20.00
>	L[CLU_3175]	1440	20.00
>	L[CLU_3178]	69	20.00
>	L[CLU_3180]	2640	20.00
>	L[CLU_3181]	450	20.00
>	L[CLU_3183]	2722	20.00
>	L[CLU_3184]	241	20.00
>	L[CLU_3185]	426	20.00
>	L[CLU_3187]	158	20.00
>	L[CLU_3188]	568	20.00
>	L[CLU_3189]	600	20.00
>	L[CLU_3190]	576	20.00
>	L[CLU_3191]	1794	20.00
>	L[CLU_3193]	2840	20.00
>	L[CLU_3195]	1221	20.00
>	L[CLU_3196]	328	20.00
>	L[CLU_3197]	146	20.00
>	L[CLU_3199]	447	20.00
>	L[CLU_3201]	1010	20.00
>	L[CLU_3202]	827	20.00
>	L[CLU_3203]	1216	20.00
>	L[CLU_3204]	507	20.00
>	L[CLU_3205]	399	20.00
>	L[CLU_3207]	226	20.00
>	L[CLU_3209]	313	20.00
>	L[CLU_3211]	2640	20.00
>	L[CLU_3212]	729	20.00
>	L[CLU_3214]	2859	20.00
>	L[CLU_3215]	635	20.00
>	L[CLU_3216]	319	20.00
>	L[CLU_3217]	1054	20.00
>	L[CLU_3711]	94	20.00
>	L[CLU_3731]	139	20.00
>	L[CLU_3732]	94	20.00
>	L[CLU_4344]	498	20.00
>	L[CLU_7904]	102	20.00
>	L[CLU_956]	259	20.00
>	L[3118602190494]	1500	20.00
>	L[3118602190605]	750	20.00
>	L[3118602190109]	50	20.00
>	L[3118607116306]	1565	20.00
>	L[3118602190931]	3749	20.00
>	L[3118602190893]	3480	20.00
>	L[3118602190486]	3750	20.00
>	L[3118602190222]	4350	20.00
>	L[3118607110316]	3749	20.00
>	L[3118602190966]	750	20.00
>	L[3118602190826]	2610	20.00
>	L[3118602190656]	3750	20.00
>	L[3118602190834]	750	20.00
>	L[3118602190710]	870	20.00
>	L[3118602190796]	688	20.00
>	L[3118602190648]	869	20.00
>	L[3118602190818]	2250	20.00
>	L[3118602190885]	2250	20.00
>	L[3118607053355]	77	20.00
>	L[CLU_2970]	3750	20.00
>	L[CLU_3098]	1637	20.00
>	L[THC1]	21600	20.00
