THC[THC1]		81506	Dist (km)
>	L[CLU_1175]	137	25.00
>	L[CLU_1344]	277	25.00
>	L[CLU_1359]	161	25.00
>	L[CLU_1826]	462	25.00
>	L[CLU_1889]	124	25.00
>	L[CLU_2925]	602	25.00
>	L[CLU_2926]	901	25.00
>	L[CLU_2932]	765	25.00
>	L[CLU_2933]	577	25.00
>	L[CLU_2935]	1468	25.00
>	L[CLU_2936]	1020	25.00
>	L[CLU_2937]	594	25.00
>	L[CLU_2938]	1461	25.00
>	L[CLU_2940]	208	25.00
>	L[CLU_2945]	601	25.00
>	L[CLU_2946]	261	25.00
>	L[CLU_2948]	489	25.00
>	L[CLU_2949]	586	25.00
>	L[CLU_2951]	54	25.00
>	L[CLU_2952]	393	25.00
>	L[CLU_2954]	268	25.00
>	L[CLU_2961]	595	25.00
>	L[CLU_2963]	163	25.00
>	L[CLU_2967]	240	25.00
>	L[CLU_2969]	526	25.00
>	L[CLU_2972]	541	25.00
>	L[CLU_2975]	570	25.00
>	L[CLU_2976]	2171	25.00
>	L[CLU_2980]	674	25.00
>	L[CLU_2981]	614	25.00
>	L[CLU_2982]	2618	25.00
>	L[CLU_2983]	457	25.00
>	L[CLU_2985]	196	25.00
>	L[CLU_2997]	590	25.00
>	L[CLU_2999]	470	25.00
>	L[CLU_3001]	358	25.00
>	L[CLU_3004]	516	25.00
>	L[CLU_3005]	539	25.00
>	L[CLU_3007]	400	25.00
>	L[CLU_3008]	217	25.00
>	L[CLU_3011]	350	25.00
>	L[CLU_3014]	596	25.00
>	L[CLU_3017]	221	25.00
>	L[CLU_3019]	545	25.00
>	L[CLU_3020]	679	25.00
>	L[CLU_3023]	548	25.00
>	L[CLU_3024]	1099	25.00
>	L[CLU_3028]	335	25.00
>	L[CLU_3030]	320	25.00
>	L[CLU_3031]	313	25.00
>	L[CLU_3038]	371	25.00
>	L[CLU_3039]	1421	25.00
>	L[CLU_3043]	426	25.00
>	L[CLU_3045]	568	25.00
>	L[CLU_3046]	556	25.00
>	L[CLU_3050]	475	25.00
>	L[CLU_3052]	171	25.00
>	L[CLU_3053]	132	25.00
>	L[CLU_3054]	214	25.00
>	L[CLU_3055]	618	25.00
>	L[CLU_3057]	539	25.00
>	L[CLU_3061]	747	25.00
>	L[CLU_3062]	578	25.00
>	L[CLU_3063]	1897	25.00
>	L[CLU_3064]	1036	25.00
>	L[CLU_3069]	386	25.00
>	L[CLU_3075]	540	25.00
>	L[CLU_3076]	408	25.00
>	L[CLU_3082]	408	25.00
>	L[CLU_3084]	304	25.00
>	L[CLU_3085]	583	25.00
>	L[CLU_3087]	392	25.00
>	L[CLU_3089]	452	25.00
>	L[CLU_3094]	271	25.00
>	L[CLU_3095]	514	25.00
>	L[CLU_3097]	173	25.00
>	L[CLU_3098]	861	25.00
>	L[CLU_3102]	109	25.00
>	L[CLU_3104]	592	25.00
>	L[CLU_3105]	295	25.00
>	L[CLU_3108]	217	25.00
>	L[CLU_3109]	949	25.00
>	L[CLU_3110]	225	25.00
>	L[CLU_3112]	159	25.00
>	L[CLU_3113]	47	25.00
>	L[CLU_3116]	47	25.00
>	L[CLU_3117]	315	25.00
>	L[CLU_3118]	610	25.00
>	L[CLU_3120]	272	25.00
>	L[CLU_3131]	135	25.00
>	L[CLU_3133]	554	25.00
>	L[CLU_3140]	93	25.00
>	L[CLU_3143]	450	25.00
>	L[CLU_3144]	487	25.00
>	L[CLU_3153]	2049	25.00
>	L[CLU_3171]	1777	25.00
>	L[CLU_3172]	592	25.00
>	L[CLU_3174]	617	25.00
>	L[CLU_3176]	612	25.00
>	L[CLU_3177]	59	25.00
>	L[CLU_3179]	981	25.00
>	L[CLU_3182]	432	25.00
>	L[CLU_3186]	406	25.00
>	L[CLU_3192]	266	25.00
>	L[CLU_3194]	132	25.00
>	L[CLU_3198]	1188	25.00
>	L[CLU_3200]	610	25.00
>	L[CLU_3206]	2708	25.00
>	L[CLU_3208]	329	25.00
>	L[CLU_3210]	615	25.00
>	L[CLU_3213]	1184	25.00
>	L[CLU_7797]	168	25.00
>	L[CLU_7876]	232	25.00
>	L[CLU_7923]	520	25.00
>	L[CLU_948]	70	25.00
>	L[CLU_952]	133	25.00
>	L[3118602190532]	2250	25.00
>	L[3118602190923]	3944	25.00
>	L[3118602190915]	1740	25.00
>	L[3118602190729]	34	25.00
>	L[3118602190796]	181	25.00
>	L[SHC1]	8150	20.00
