
PHC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[PHC1 ] 	eSF 	4.0	1.0	-2.0	0.0	2.0	1.0	0.0
[PHC1 ] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[PHC1 ] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[PHC2 ] 	eSF 	1.0	2.0	1.0	0.0	2.0	0.0	0.0
[PHC2 ] 	eSB 	3.0	2.0	-1.0	0.0	2.0	0.0	0.0
[PHC2 ] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[PHC3 ] 	eSF 	4.0	2.0	-2.0	0.0	2.0	0.0	0.0
[PHC3 ] 	eSB 	1.0	2.0	0.0	1.0	2.0	0.0	0.0
[PHC3 ] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[PHC4 ] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[PHC4 ] 	eSB 	3.0	1.0	-3.0	1.0	1.0	0.0	0.0
[PHC4 ] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[PHC5 ] 	eSF 	2.0	2.0	0.0	0.0	2.0	0.0	0.0
[PHC5 ] 	eSB 	1.0	2.0	1.0	0.0	2.0	0.0	0.0
[PHC5 ] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[PHC6 ] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[PHC6 ] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[PHC6 ] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[PHC8 ]*	eSF 	0.0	3.0	3.0	0.0	3.0	0.0	0.0
[PHC8 ]*	eSB 	0.0	3.0	3.0	0.0	3.0	0.0	0.0
[PHC8 ]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Team	Required	Result
eSF 	12.00		13.00
eSB 	12.00		12.00
eMulti	0.00		3.00

SHC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[SHC1 ] 	ME2 	3.0	0.7	0.0	0.0	3.0	2.3	0.0
[SHC1 ] 	EF2 	3.0	0.7	-2.0	0.0	1.0	0.3	0.0
[SHC1 ] 	DE2 	3.0	0.7	-2.0	0.0	1.0	0.3	0.0
[SHC2 ] 	ME2 	4.0	0.7	-1.0	0.0	3.0	2.3	0.0
[SHC2 ] 	EF2 	4.0	0.7	0.0	0.0	4.0	3.3	0.0
[SHC2 ] 	DE2 	3.0	0.7	0.0	0.0	3.0	2.3	0.0
[SHC3 ] 	ME2 	3.0	0.7	-1.0	0.0	2.0	1.3	0.0
[SHC3 ] 	EF2 	5.0	0.7	-1.0	0.0	4.0	3.3	0.0
[SHC3 ] 	DE2 	3.0	0.7	0.0	0.0	3.0	2.3	0.0
[SHC4 ] 	ME2 	2.0	0.7	-1.0	0.0	1.0	0.3	0.0
[SHC4 ] 	EF2 	6.0	0.7	0.0	0.0	6.0	5.3	0.0
[SHC4 ] 	DE2 	4.0	0.7	-1.0	0.0	3.0	2.3	0.0
[SHC5 ]*	ME2 	0.0	0.7	1.0	0.0	1.0	0.3	0.0
[SHC5 ]*	EF2 	0.0	0.7	1.0	0.0	1.0	0.3	0.0
[SHC5 ]*	DE2 	0.0	0.7	1.0	0.0	1.0	0.3	0.0
[SHC6 ]*	ME2 	0.0	0.5	1.0	0.0	1.0	0.5	0.0
[SHC6 ]*	EF2 	0.0	0.5	1.0	0.0	1.0	0.5	0.0
[SHC6 ]*	DE2 	0.0	0.5	1.0	0.0	1.0	0.5	0.0
[SHC7 ]*	ME2 	0.0	0.3	1.0	0.0	1.0	0.7	0.0
[SHC7 ]*	EF2 	0.0	0.3	1.0	0.0	1.0	0.7	0.0
[SHC7 ]*	DE2 	0.0	0.3	1.0	0.0	1.0	0.7	0.0

THC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[THC1 ] 	ME3 	2.0	0.2	-1.0	0.0	1.0	0.8	0.0
[THC1 ] 	EF3 	2.0	0.2	0.0	0.0	2.0	1.8	0.0
[THC1 ] 	DE3 	2.0	0.2	0.0	0.0	2.0	1.8	0.0
[THC2 ] 	ME3 	2.0	0.1	-1.0	0.0	1.0	0.9	0.0
[THC2 ] 	EF3 	5.0	0.1	0.0	0.0	5.0	4.9	0.0
[THC2 ] 	DE3 	2.0	0.1	-1.0	0.0	1.0	0.9	0.0
[THC3 ] 	ME3 	1.0	0.1	0.0	0.0	1.0	0.9	0.0
[THC3 ] 	EF3 	3.0	0.1	-2.0	0.0	1.0	0.9	0.0
[THC3 ] 	DE3 	2.0	0.1	-1.0	0.0	1.0	0.9	0.0
[THC4 ]*	ME3 	0.0	0.2	1.0	0.0	1.0	0.8	0.0
[THC4 ]*	EF3 	0.0	0.2	1.0	0.0	1.0	0.8	0.0
[THC4 ]*	DE3 	0.0	0.2	1.0	0.0	1.0	0.8	0.0
[THC6 ]*	ME3 	0.0	0.3	1.0	0.0	1.0	0.7	0.0
[THC6 ]*	EF3 	0.0	0.3	1.0	0.0	1.0	0.7	0.0
[THC6 ]*	DE3 	0.0	0.3	1.0	0.0	1.0	0.7	0.0
