PHC	Capty	Met	Use(%)
[PHC1 ]	3000	2609	 86%
[PHC2 ]	6000	5682	 94%
[PHC3 ]	6000	5715	 95%
[PHC4 ]	3000	3000	100%
[PHC5 ]	6000	5774	 96%
[PHC6 ]	3000	2856	 95%
[PHC8 *]:	9000	9000	100%


SHC	Capty	Met	Use(%)
[SHC1  ]	2000	2000	100%
[SHC2  ]	2000	2000	100%
[SHC3  ]	2000	2000	100%
[SHC4  ]	2000	2000	100%
[SHC5 *]	2000	1998	 99%
[SHC6 *]	1500	1500	100%
[SHC7 *]	1000	854	 85%


THC	Capty	Met	Use(%)
[THC1  ]	800	638	 79%
[THC2  ]	500	412	 82%
[THC3  ]	500	415	 83%
[THC4 *]	500	500	100%
[THC6 *]	1000	999	 99%
