
PHC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[313760105000002]*	eSF 	0.0	0.1	0.0	0.0	0.0	0.0	0.1
[313760105000002]*	eSB 	0.0	0.1	0.0	0.0	0.0	0.0	0.1
[313760105000002]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000013] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000013] 	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000013] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000076] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000076] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000076] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000080]*	eSF 	0.0	1.0	1.0	0.0	1.0	0.0	0.0
[313760105000080]*	eSB 	0.0	1.0	1.0	0.0	1.0	0.0	0.0
[313760105000080]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000102] 	eSF 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000102] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000102] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000122] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000122] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000122] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000125] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000125] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000125] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000132] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000132] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000132] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000135] 	eSF 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000135] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000135] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000139] 	eSF 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000139] 	eSB 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000139] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[313760105000150]*	eSF 	0.0	2.0	0.0	2.0	2.0	0.0	0.0
[313760105000150]*	eSB 	0.0	2.0	0.0	2.0	2.0	0.0	0.0
[313760105000150]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000168] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	-0.0
[313760105000168] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000168] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000178]*	eSF 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000178]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000178]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000186] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000186] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000186] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000201] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000201] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000201] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[313760105000235] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000235] 	eSB 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000235] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[313760105000239] 	eSF 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000239] 	eSB 	2.0	1.0	-1.0	0.0	1.0	0.0	0.0
[313760105000239] 	eMulti	1.0	0.0	0.0	0.0	1.0	1.0	0.0
[313760105000253]*	eSF 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000253]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000253]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000255]*	eSF 	0.0	2.0	2.0	0.0	2.0	0.0	0.0
[313760105000255]*	eSB 	0.0	2.0	1.0	1.0	2.0	0.0	0.0
[313760105000255]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000259] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000259] 	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000259] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000264] 	eSF 	1.0	1.0	0.0	0.0	1.0	0.0	0.0
[313760105000264] 	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000264] 	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000271]*	eSF 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000271]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760105000271]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760105000285]*	eSF 	0.0	1.0	1.0	0.0	1.0	0.0	-0.0
[313760105000285]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	-0.0
[313760105000285]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760115000014]*	eSF 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760115000014]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760115000014]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[313760115000019]*	eSF 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760115000019]*	eSB 	0.0	1.0	0.0	1.0	1.0	0.0	0.0
[313760115000019]*	eMulti	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Team	Required	Result
eSF 	26.12		26.00
eSB 	26.12		26.00
eMulti	0.00		4.00

SHC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[SHC1 ] 	EQ2 	3.0	6.7	0.0	0.0	3.0	3.0	6.7

THC Locations:
Loc	Team	CNES	Req'd	Transf	New	Res	Surp	Def
[THC1 ] 	EQ3 	2.0	2.1	0.0	0.0	2.0	2.0	2.1
