Region	Pop	Flow
[313760105000002]	253	252
[313760105000003]	332	331
[313760105000004]	0	0
[313760105000005]	502	502
[313760105000007]	312	312
[313760105000008]	505	505
[313760105000009]	426	426
[313760105000010]	294	294
[313760105000011]	305	305
[313760105000012]	543	543
[313760105000013]	620	620
[313760105000015]	607	607
[313760105000016]	139	138
[313760105000020]	380	379
[313760105000021]	280	280
[313760105000022]	245	244
[313760105000024]	94	94
[313760105000026]	347	347
[313760105000027]	582	582
[313760105000028]	317	317
[313760105000029]	191	191
[313760105000030]	231	230
[313760105000036]	251	250
[313760105000037]	418	418
[313760105000039]	701	701
[313760105000040]	390	389
[313760105000043]	448	448
[313760105000045]	401	401
[313760105000048]	36	35
[313760105000050]	3	3
[313760105000058]	177	177
[313760105000064]	390	389
[313760105000066]	358	358
[313760105000067]	193	193
[313760105000068]	195	194
[313760105000069]	114	114
[313760105000071]	294	294
[313760105000072]	311	311
[313760105000074]	428	428
[313760105000075]	174	173
[313760105000076]	179	179
[313760105000077]	314	313
[313760105000078]	238	238
[313760105000080]	263	263
[313760105000081]	184	183
[313760105000082]	176	175
[313760105000083]	373	372
[313760105000084]	151	151
[313760105000085]	182	181
[313760105000086]	390	389
[313760105000087]	179	178
[313760105000088]	331	331
[313760105000089]	219	219
[313760105000090]	533	532
[313760105000091]	339	338
[313760105000092]	58	58
[313760105000094]	505	505
[313760105000095]	295	295
[313760105000096]	180	179
[313760105000097]	179	179
[313760105000098]	193	193
[313760105000099]	467	466
[313760105000101]	37	36
[313760105000102]	1106	1106
[313760105000103]	301	301
[313760105000105]	585	585
[313760105000106]	773	773
[313760105000108]	166	166
[313760105000109]	397	397
[313760105000110]	359	359
[313760105000112]	86	86
[313760105000114]	11	11
[313760105000115]	0	0
[313760105000118]	301	300
[313760105000120]	330	329
[313760105000122]	378	378
[313760105000123]	99	99
[313760105000124]	206	206
[313760105000125]	124	124
[313760105000126]	178	177
[313760105000127]	425	425
[313760105000128]	773	773
[313760105000129]	378	378
