L[313760105000002]		470	Dist (km)
>	L[313760105000002]	63	0.00
>	L[313760105000030]	182	0.41
>	L[313760105000245]	87	0.54
>	L[SHC1]	112	20.00
>	L[THC1]	23	25.00
L[313760105000013]		2708	Dist (km)
>	L[313760105000011]	240	0.61
>	L[313760105000012]	242	0.45
>	L[313760105000013]	585	0.00
>	L[313760105000083]	294	0.69
>	L[313760105000089]	184	0.53
>	L[313760105000095]	233	0.63
>	L[313760105000097]	141	1.21
>	L[SHC1]	649	20.00
>	L[THC1]	135	25.00
L[313760105000045]		5509	Dist (km)
>	L[313760105000040]	328	0.80
>	L[313760105000140]	527	0.26
>	L[313760105000142]	226	0.66
>	L[313760105000220]	287	0.73
>	L[313760105000224]	150	1.14
>	L[313760105000225]	182	1.25
>	L[313760105000226]	336	0.82
>	L[313760105000228]	288	0.56
>	L[313760105000229]	486	0.92
>	L[313760105000254]	206	0.40
>	L[313760105000255]	302	0.22
>	L[313760105000281]	112	2.01
>	L[313760105000283]	478	0.52
>	L[SHC1]	1322	20.00
>	L[THC1]	275	25.00
L[313760105000048]		35	Dist (km)
>	L[313760105000048]	18	0.00
>	L[313760114000010]	7	4.36
>	L[SHC1]	8	20.00
>	L[THC1]	1	25.00
L[313760105000074]		2996	Dist (km)
>	L[313760105000008]	398	0.34
>	L[313760105000015]	479	0.76
>	L[313760105000074]	338	0.00
>	L[313760105000086]	15	0.52
>	L[313760105000098]	152	1.18
>	L[313760105000099]	368	1.19
>	L[313760105000212]	121	0.29
>	L[313760105000248]	252	0.88
>	L[SHC1]	719	20.00
>	L[THC1]	149	25.00
L[313760105000076]		2675	Dist (km)
>	L[313760105000009]	38	1.05
>	L[313760105000075]	174	0.26
>	L[313760105000076]	179	0.00
>	L[313760105000077]	314	0.26
>	L[313760105000078]	238	0.64
>	L[313760105000080]	263	0.31
>	L[313760105000082]	176	0.76
>	L[313760105000084]	151	0.36
>	L[313760105000085]	182	0.35
>	L[313760105000257]	184	0.54
>	L[SHC1]	642	20.00
>	L[THC1]	133	25.00
L[313760105000102]		5427	Dist (km)
>	L[313760105000102]	1106	0.00
>	L[313760105000103]	301	0.87
>	L[313760105000105]	585	0.80
>	L[313760105000114]	11	2.44
>	L[313760105000170]	417	0.40
>	L[313760105000272]	427	2.30
>	L[313760105000273]	402	2.55
>	L[313760105000274]	260	0.47
>	L[313760105000275]	344	0.48
>	L[SHC1]	1302	20.00
>	L[THC1]	271	25.00
L[313760105000122]		2802	Dist (km)
>	L[313760105000027]	403	0.54
>	L[313760105000028]	317	0.31
>	L[313760105000122]	378	0.00
>	L[313760105000207]	333	0.47
>	L[313760105000208]	405	0.26
>	L[313760105000250]	152	0.50
>	L[SHC1]	672	20.00
>	L[THC1]	140	25.00
L[313760105000125]		2999	Dist (km)
>	L[313760105000020]	380	0.74
>	L[313760105000021]	221	0.43
>	L[313760105000022]	245	0.75
