L[SHC1]		24072	Dist (km)
>	L[313760105000002]	189	20.00
>	L[313760105000003]	153	20.00
>	L[313760105000005]	270	20.00
>	L[313760105000007]	312	20.00
>	L[313760105000009]	387	20.00
>	L[313760105000010]	294	20.00
>	L[313760105000011]	64	20.00
>	L[313760105000016]	139	20.00
>	L[313760105000021]	58	20.00
>	L[313760105000027]	178	20.00
>	L[313760105000030]	48	20.00
>	L[313760105000036]	251	20.00
>	L[313760105000043]	94	20.00
>	L[313760105000045]	401	20.00
>	L[313760105000048]	17	20.00
>	L[313760105000050]	3	20.00
>	L[313760105000064]	390	20.00
>	L[313760105000066]	358	20.00
>	L[313760105000068]	30	20.00
>	L[313760105000069]	114	20.00
>	L[313760105000074]	89	20.00
>	L[313760105000081]	184	20.00
>	L[313760105000083]	78	20.00
>	L[313760105000086]	374	20.00
>	L[313760105000087]	179	20.00
>	L[313760105000088]	69	20.00
>	L[313760105000090]	85	20.00
>	L[313760105000091]	296	20.00
>	L[313760105000092]	58	20.00
>	L[313760105000096]	37	20.00
>	L[313760105000098]	40	20.00
>	L[313760105000101]	37	20.00
>	L[313760105000108]	34	20.00
>	L[313760105000109]	397	20.00
>	L[313760105000118]	47	20.00
>	L[313760105000124]	200	20.00
>	L[313760105000128]	162	20.00
>	L[313760105000129]	177	20.00
>	L[313760105000134]	252	20.00
>	L[313760105000139]	51	20.00
>	L[313760105000146]	68	20.00
>	L[313760105000163]	62	20.00
>	L[313760105000164]	490	20.00
>	L[313760105000171]	80	20.00
>	L[313760105000175]	94	20.00
>	L[313760105000182]	106	20.00
>	L[313760105000185]	57	20.00
>	L[313760105000186]	52	20.00
>	L[313760105000187]	89	20.00
>	L[313760105000189]	34	20.00
>	L[313760105000199]	413	20.00
>	L[313760105000201]	206	20.00
>	L[313760105000206]	109	20.00
>	L[313760105000207]	56	20.00
>	L[313760105000209]	619	20.00
>	L[313760105000211]	240	20.00
>	L[313760105000213]	321	20.00
>	L[313760105000217]	369	20.00
>	L[313760105000218]	561	20.00
>	L[313760105000219]	562	20.00
>	L[313760105000222]	164	20.00
>	L[313760105000225]	34	20.00
>	L[313760105000227]	546	20.00
>	L[313760105000230]	90	20.00
>	L[313760105000233]	25	20.00
>	L[313760105000234]	260	20.00
>	L[313760105000235]	82	20.00
>	L[313760105000245]	23	20.00
>	L[313760105000246]	174	20.00
>	L[313760105000247]	23	20.00
>	L[313760105000249]	177	20.00
>	L[313760105000251]	165	20.00
>	L[313760105000253]	330	20.00
>	L[313760105000256]	133	20.00
>	L[313760105000258]	303	20.00
>	L[313760105000259]	54	20.00
>	L[313760105000260]	227	20.00
>	L[313760105000261]	49	20.00
>	L[313760105000264]	104	20.00
>	L[313760105000269]	89	20.00
>	L[313760105000271]	326	20.00
>	L[313760105000274]	80	20.00
>	L[313760105000276]	76	20.00
>	L[313760105000278]	137	20.00
>	L[313760105000282]	69	20.00
>	L[313760105000284]	64	20.00
>	L[313760114000002]	27	20.00
>	L[313760114000008]	56	20.00
>	L[313760114000009]	23	20.00
>	L[313760115000007]	51	20.00
>	L[313760115000014]	182	20.00
>	L[313760115000015]	8	20.00
>	L[313760115000021]	163	20.00
>	L[313760115000029]	122	20.00
>	L[313760105000045]	436	20.00
>	L[313760105000102]	1429	20.00
>	L[313760105000125]	272	20.00
>	L[313760105000132]	487	20.00
>	L[313760105000161]	922	20.00
>	L[313760105000168]	37	20.00
>	L[313760105000192]	1087	20.00
>	L[313760105000239]	426	20.00
>	L[313760115000010]	918	20.00
>	L[THC1]	2407	20.00
