L[THC1]		9783	Dist (km)
>	L[313760105000011]	232	25.00
>	L[313760105000043]	448	25.00
>	L[313760105000082]	176	25.00
>	L[313760105000138]	554	25.00
>	L[313760105000150]	545	25.00
>	L[313760105000165]	265	25.00
>	L[313760105000173]	187	25.00
>	L[313760105000175]	238	25.00
>	L[313760105000186]	252	25.00
>	L[313760105000194]	8	25.00
>	L[313760105000196]	131	25.00
>	L[313760105000217]	369	25.00
>	L[313760105000220]	287	25.00
>	L[313760105000227]	546	25.00
>	L[313760105000233]	121	25.00
>	L[313760105000242]	282	25.00
>	L[313760105000243]	366	25.00
>	L[313760105000255]	302	25.00
>	L[313760105000277]	145	25.00
>	L[313760115000001]	165	25.00
>	L[313760115000002]	92	25.00
>	L[313760115000003]	412	25.00
>	L[313760115000005]	74	25.00
>	L[313760115000007]	51	25.00
>	L[313760115000008]	354	25.00
>	L[313760115000010]	135	25.00
>	L[313760115000011]	356	25.00
>	L[313760115000018]	394	25.00
>	L[313760115000027]	339	25.00
>	L[313760105000145]	978	25.00
>	L[SHC1]	978	20.00
