PHC	Capty	Met	Use
[313760105000013]	3000	2708	90.27
[313760105000076]	3000	2675	89.17
[313760105000102]	6000	5427	90.46
[313760105000122]	3000	2802	93.41
[313760105000125]	3000	2999	100.00
[313760105000132]	3000	2871	95.71
[313760105000135]	6000	2601	43.35
[313760105000139]	6000	5993	99.89
[313760105000168]	3000	2614	87.14
[313760105000186]	3000	2816	93.88
[313760105000201]	3000	2867	95.60
[313760105000235]	3000	616	20.57
[313760105000239]	6000	2905	48.43
[313760105000259]	3000	2999	100.00
[313760105000264]	3000	309	10.32
[313760105000002*]:	9000	470	5.22
[313760105000045*]:	9000	5509	61.22
[313760105000048*]:	9000	35	0.39
[313760105000074*]:	9000	2996	33.29
[313760105000161*]:	9000	5849	65.00
[313760105000181*]:	9000	2575	28.61
[313760105000192*]:	9000	6349	70.55
[313760105000270*]:	9000	2814	31.28
[313760105000279*]:	9000	2706	30.07
[313760115000010*]:	9000	3166	35.18
