Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[313760105000002]*	eSF	0.0	0.15	0.0	0.0	0.0	0.0	0.1
[313760105000002]*	eSB	0.0	0.15	0.0	0.0	0.0	0.0	0.1
[313760105000002]*	eMulti	0.0	0.02	0.0	0.0	0.0	0.0	0.0
[313760105000013] 	eSF	1.0	1.00	-1.0	1.0	1.0	0.0	0.0
[313760105000013] 	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000013] 	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000028]*	eSF	0.0	0.15	0.0	0.0	0.0	0.0	0.1
[313760105000028]*	eSB	0.0	0.15	0.0	0.0	0.0	0.0	0.1
[313760105000028]*	eMulti	0.0	0.02	0.0	0.0	0.0	0.0	0.0
[313760105000040]*	eSF	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000040]*	eSB	0.0	1.00	0.0	1.0	1.0	0.0	0.0
[313760105000040]*	eMulti	0.0	0.11	1.0	0.0	1.0	0.9	0.0
[313760105000043]*	eSF	0.0	3.07	2.0	1.0	3.0	0.0	0.1
[313760105000043]*	eSB	0.0	3.07	0.0	3.0	3.0	0.0	0.1
[313760105000043]*	eMulti	0.0	0.34	1.0	0.0	1.0	0.7	0.0
[313760105000076] 	eSF	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000076] 	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000076] 	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000084]*	eSF	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000084]*	eSB	0.0	1.00	1.0	0.0	1.0	0.0	0.0
[313760105000084]*	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
[313760105000102] 	eSF	2.0	1.00	-1.0	0.0	1.0	0.0	0.0
[313760105000102] 	eSB	1.0	1.00	0.0	0.0	1.0	0.0	0.0
[313760105000102] 	eMulti	0.0	0.11	0.0	0.0	0.0	0.0	0.1
